
dc (V)            getData("M0:gm    getData("M0:id    getData("M0:cg    getData("M0:gd    getData("M0:vt    getData("M0:vd    getData("M0:vt

 0.00000e+00       8.63713e-13       4.54011e-14       4.09017e-15       6.40244e-16       4.85899e-01       3.93024e-02       4.85899e-01      
 9.00000e-03       1.15831e-12       5.35492e-14       4.07338e-15       8.58727e-16       4.85899e-01       3.93024e-02       4.85899e-01      
 1.80000e-02       1.55330e-12       6.48758e-14       4.05730e-15       1.15172e-15       4.85899e-01       3.93025e-02       4.85899e-01      
 2.70000e-02       2.08283e-12       8.04221e-14       4.04199e-15       1.54461e-15       4.85899e-01       3.93025e-02       4.85899e-01      
 3.60000e-02       2.79267e-12       1.01587e-13       4.02749e-15       2.07142e-15       4.85899e-01       3.93026e-02       4.85899e-01      
 4.50000e-02       3.74407e-12       1.30249e-13       4.01388e-15       2.77774e-15       4.85899e-01       3.93027e-02       4.85899e-01      
 5.40000e-02       5.01904e-12       1.68927e-13       4.00125e-15       3.72462e-15       4.85899e-01       3.93029e-02       4.85899e-01      
 6.30000e-02       6.72732e-12       2.20998e-13       3.98970e-15       4.99384e-15       4.85899e-01       3.93030e-02       4.85899e-01      
 7.20000e-02       9.01568e-12       2.90987e-13       3.97937e-15       6.69493e-15       4.85899e-01       3.93033e-02       4.85899e-01      
 8.10000e-02       1.20803e-11       3.84952e-13       3.97042e-15       8.97442e-15       4.85899e-01       3.93036e-02       4.85899e-01      
 9.00000e-02       1.61835e-11       5.11000e-13       3.96308e-15       1.20284e-14       4.85899e-01       3.93041e-02       4.85899e-01      
 9.90000e-02       2.16750e-11       6.79977e-13       3.95758e-15       1.61191e-14       4.85899e-01       3.93047e-02       4.85899e-01      
 1.08000e-01       2.90219e-11       9.06381e-13       3.95424e-15       2.15969e-14       4.85899e-01       3.93055e-02       4.85899e-01      
 1.17000e-01       3.88462e-11       1.20958e-12       3.95342e-15       2.89301e-14       4.85899e-01       3.93066e-02       4.85899e-01      
 1.26000e-01       5.19746e-11       1.61543e-12       3.95545e-15       3.87430e-14       4.85899e-01       3.93080e-02       4.85899e-01      
 1.35000e-01       6.95049e-11       2.15837e-12       3.96084e-15       5.18681e-14       4.85899e-01       3.93100e-02       4.85899e-01      
 1.44000e-01       9.28969e-11       2.88430e-12       3.97033e-15       6.94135e-14       4.85899e-01       3.93126e-02       4.85899e-01      
 1.53000e-01       1.24082e-10       3.85429e-12       3.98462e-15       9.28535e-14       4.85899e-01       3.93160e-02       4.85899e-01      
 1.62000e-01       1.65611e-10       5.14946e-12       4.00455e-15       1.24145e-13       4.85899e-01       3.93207e-02       4.85899e-01      
 1.71000e-01       2.20847e-10       6.87738e-12       4.03106e-15       1.65883e-13       4.85899e-01       3.93268e-02       4.85899e-01      
 1.80000e-01       2.94205e-10       9.18045e-12       4.06521e-15       2.21497e-13       4.85899e-01       3.93350e-02       4.85899e-01      
 1.89000e-01       3.91466e-10       1.22467e-11       4.10815e-15       2.95512e-13       4.85899e-01       3.93460e-02       4.85899e-01      
 1.98000e-01       5.20163e-10       1.63238e-11       4.16118e-15       3.93877e-13       4.85899e-01       3.93605e-02       4.85899e-01      
 2.07000e-01       6.90063e-10       2.17368e-11       4.22564e-15       5.24390e-13       4.85899e-01       3.93798e-02       4.85899e-01      
 2.16000e-01       9.13766e-10       2.89111e-11       4.30293e-15       6.97219e-13       4.85899e-01       3.94053e-02       4.85899e-01      
 2.25000e-01       1.20741e-09       3.84008e-11       4.39448e-15       9.25566e-13       4.85899e-01       3.94390e-02       4.85899e-01      
 2.34000e-01       1.59152e-09       5.09243e-11       4.50168e-15       1.22647e-12       4.85899e-01       3.94834e-02       4.85899e-01      
 2.43000e-01       2.09196e-09       6.74083e-11       4.62583e-15       1.62175e-12       4.85899e-01       3.95417e-02       4.85899e-01      
 2.52000e-01       2.74104e-09       8.90404e-11       4.76812e-15       2.13915e-12       4.85899e-01       3.96180e-02       4.85899e-01      
 2.61000e-01       3.57865e-09       1.17332e-10       4.92951e-15       2.81361e-12       4.85899e-01       3.97173e-02       4.85899e-01      
 2.70000e-01       4.65350e-09       1.54194e-10       5.11076e-15       3.68858e-12       4.85899e-01       3.98459e-02       4.85899e-01      
 2.79000e-01       6.02419e-09       2.02016e-10       5.31233e-15       4.81750e-12       4.85899e-01       4.00117e-02       4.85899e-01      
 2.88000e-01       7.76032e-09       2.63769e-10       5.53434e-15       6.26506e-12       4.85899e-01       4.02238e-02       4.85899e-01      
 2.97000e-01       9.94310e-09       3.43099e-10       5.77661e-15       8.10828e-12       4.85899e-01       4.04932e-02       4.85899e-01      
 3.06000e-01       1.26658e-08       4.44437e-10       6.03859e-15       1.04370e-11       4.85899e-01       4.08325e-02       4.85899e-01      
 3.15000e-01       1.60333e-08       5.73109e-10       6.31937e-15       1.33539e-11       4.85899e-01       4.12558e-02       4.85899e-01      
 3.24000e-01       2.01612e-08       7.35434e-10       6.61770e-15       1.69734e-11       4.85899e-01       4.17786e-02       4.85899e-01      
 3.33000e-01       2.51740e-08       9.38812e-10       6.93205e-15       2.14192e-11       4.85899e-01       4.24172e-02       4.85899e-01      
 3.42000e-01       3.12020e-08       1.19179e-09       7.26057e-15       2.68217e-11       4.85899e-01       4.31880e-02       4.85899e-01      
 3.51000e-01       3.83775e-08       1.50412e-09       7.60120e-15       3.33130e-11       4.85899e-01       4.41068e-02       4.85899e-01      
 3.60000e-01       4.68306e-08       1.88670e-09       7.95168e-15       4.10227e-11       4.85899e-01       4.51885e-02       4.85899e-01      
 3.69000e-01       5.66849e-08       2.35160e-09       8.30962e-15       5.00731e-11       4.85899e-01       4.64455e-02       4.85899e-01      
 3.78000e-01       6.80541e-08       2.91197e-09       8.67258e-15       6.05744e-11       4.85899e-01       4.78880e-02       4.85899e-01      
 3.87000e-01       8.10405e-08       3.58190e-09       9.03809e-15       7.26222e-11       4.85899e-01       4.95231e-02       4.85899e-01      
 3.96000e-01       9.57362e-08       4.37638e-09       9.40374e-15       8.62960e-11       4.85899e-01       5.13553e-02       4.85899e-01      
 4.05000e-01       1.12226e-07       5.31117e-09       9.76722e-15       1.01659e-10       4.85899e-01       5.33863e-02       4.85899e-01      
 4.14000e-01       1.30594e-07       6.40282e-09       1.01264e-14       1.18761e-10       4.85899e-01       5.56158e-02       4.85899e-01      
 4.23000e-01       1.50924e-07       7.66859e-09       1.04792e-14       1.37639e-10       4.85899e-01       5.80420e-02       4.85899e-01      
 4.32000e-01       1.73313e-07       9.12658e-09       1.08240e-14       1.58323e-10       4.85899e-01       6.06620e-02       4.85899e-01      
 4.41000e-01       1.97861e-07       1.07958e-08       1.11592e-14       1.80838e-10       4.85899e-01       6.34727e-02       4.85899e-01      
 4.50000e-01       2.24683e-07       1.26961e-08       1.14835e-14       2.05207e-10       4.85899e-01       6.64707e-02       4.85899e-01      
 4.59000e-01       2.53898e-07       1.48486e-08       1.17958e-14       2.31450e-10       4.85899e-01       6.96530e-02       4.85899e-01      
 4.68000e-01       2.85625e-07       1.72752e-08       1.20955e-14       2.59591e-10       4.85899e-01       7.30168e-02       4.85899e-01      
 4.77000e-01       3.19981e-07       1.99993e-08       1.23818e-14       2.89652e-10       4.85899e-01       7.65597e-02       4.85899e-01      
 4.86000e-01       3.57071e-07       2.30448e-08       1.26545e-14       3.21657e-10       4.85899e-01       8.02793e-02       4.85899e-01      
 4.95000e-01       3.96983e-07       2.64369e-08       1.29134e-14       3.55627e-10       4.85899e-01       8.41735e-02       4.85899e-01      
 5.04000e-01       4.39784e-07       3.02012e-08       1.31584e-14       3.91583e-10       4.85899e-01       8.82401e-02       4.85899e-01      
 5.13000e-01       4.85516e-07       3.43640e-08       1.33897e-14       4.29542e-10       4.85899e-01       9.24765e-02       4.85899e-01      
 5.22000e-01       5.34191e-07       3.89516e-08       1.36077e-14       4.69520e-10       4.85899e-01       9.68801e-02       4.85899e-01      
 5.31000e-01       5.85795e-07       4.39906e-08       1.38125e-14       5.11525e-10       4.85899e-01       1.01448e-01       4.85899e-01      
 5.40000e-01       6.40283e-07       4.95071e-08       1.40048e-14       5.55562e-10       4.85899e-01       1.06176e-01       4.85899e-01      
