
dc (V)            getData("M0:gm    getData("M0:id    getData("M0:cg    getData("M0:gd    getData("M0:vt    getData("M0:vd    getData("M0:vt

 0.00000e+00       1.23426e-12       5.68053e-14       2.86951e-15       1.25323e-15       4.87489e-01       3.95762e-02       4.87489e-01      
 9.00000e-03       1.65472e-12       6.88289e-14       2.85789e-15       1.68035e-15       4.87489e-01       3.95762e-02       4.87489e-01      
 1.80000e-02       2.21829e-12       8.53472e-14       2.84676e-15       2.25297e-15       4.87489e-01       3.95763e-02       4.87489e-01      
 2.70000e-02       2.97359e-12       1.07848e-13       2.83615e-15       3.02057e-15       4.87489e-01       3.95763e-02       4.87489e-01      
 3.60000e-02       3.98575e-12       1.38328e-13       2.82610e-15       4.04949e-15       4.87489e-01       3.95764e-02       4.87489e-01      
 4.50000e-02       5.34194e-12       1.79466e-13       2.81665e-15       5.42857e-15       4.87489e-01       3.95765e-02       4.87489e-01      
 5.40000e-02       7.15883e-12       2.34853e-13       2.80785e-15       7.27678e-15       4.87489e-01       3.95766e-02       4.87489e-01      
 6.30000e-02       9.59248e-12       3.09298e-13       2.79979e-15       9.75344e-15       4.87489e-01       3.95768e-02       4.87489e-01      
 7.20000e-02       1.28516e-11       4.09243e-13       2.79256e-15       1.30718e-14       4.87489e-01       3.95771e-02       4.87489e-01      
 8.10000e-02       1.72151e-11       5.43309e-13       2.78626e-15       1.75171e-14       4.87489e-01       3.95774e-02       4.87489e-01      
 9.00000e-02       2.30554e-11       7.23032e-13       2.78104e-15       2.34710e-14       4.87489e-01       3.95778e-02       4.87489e-01      
 9.90000e-02       3.08700e-11       9.63837e-13       2.77706e-15       3.14437e-14       4.87489e-01       3.95784e-02       4.87489e-01      
 1.08000e-01       4.13220e-11       1.28634e-12       2.77453e-15       4.21170e-14       4.87489e-01       3.95792e-02       4.87489e-01      
 1.17000e-01       5.52951e-11       1.71806e-12       2.77370e-15       5.64012e-14       4.87489e-01       3.95802e-02       4.87489e-01      
 1.26000e-01       7.39630e-11       2.29575e-12       2.77479e-15       7.55108e-14       4.87489e-01       3.95816e-02       4.87489e-01      
 1.35000e-01       9.88849e-11       3.06836e-12       2.77813e-15       1.01064e-13       4.87489e-01       3.95835e-02       4.87489e-01      
 1.44000e-01       1.32133e-10       4.10108e-12       2.78423e-15       1.35215e-13       4.87489e-01       3.95860e-02       4.87489e-01      
 1.53000e-01       1.76450e-10       5.48065e-12       2.79357e-15       1.80828e-13       4.87489e-01       3.95893e-02       4.87489e-01      
 1.62000e-01       2.35459e-10       7.32229e-12       2.80670e-15       2.41708e-13       4.87489e-01       3.95938e-02       4.87489e-01      
 1.71000e-01       3.13934e-10       9.77880e-12       2.82426e-15       3.22896e-13       4.87489e-01       3.95998e-02       4.87489e-01      
 1.80000e-01       4.18148e-10       1.30524e-11       2.84697e-15       4.31059e-13       4.87489e-01       3.96077e-02       4.87489e-01      
 1.89000e-01       5.56312e-10       1.74101e-11       2.87562e-15       5.74990e-13       4.87489e-01       3.96182e-02       4.87489e-01      
 1.98000e-01       7.39131e-10       2.32038e-11       2.91108e-15       7.66255e-13       4.87489e-01       3.96322e-02       4.87489e-01      
 2.07000e-01       9.80498e-10       3.08953e-11       2.95427e-15       1.02001e-12       4.87489e-01       3.96508e-02       4.87489e-01      
 2.16000e-01       1.29833e-09       4.10891e-11       3.00616e-15       1.35604e-12       4.87489e-01       3.96754e-02       4.87489e-01      
 2.25000e-01       1.71562e-09       5.45729e-11       3.06773e-15       1.80003e-12       4.87489e-01       3.97079e-02       4.87489e-01      
 2.34000e-01       2.26159e-09       7.23685e-11       3.13994e-15       2.38514e-12       4.87489e-01       3.97507e-02       4.87489e-01      
 2.43000e-01       2.97316e-09       9.57946e-11       3.22370e-15       3.15390e-12       4.87489e-01       3.98069e-02       4.87489e-01      
 2.52000e-01       3.89646e-09       1.26542e-10       3.31983e-15       4.16041e-12       4.87489e-01       3.98805e-02       4.87489e-01      
 2.61000e-01       5.08854e-09       1.66766e-10       3.42905e-15       5.47282e-12       4.87489e-01       3.99763e-02       4.87489e-01      
 2.70000e-01       6.61912e-09       2.19189e-10       3.55188e-15       7.17609e-12       4.87489e-01       4.01006e-02       4.87489e-01      
 2.79000e-01       8.57227e-09       2.87226e-10       3.68867e-15       9.37476e-12       4.87489e-01       4.02608e-02       4.87489e-01      
 2.88000e-01       1.10479e-08       3.75120e-10       3.83957e-15       1.21956e-11       4.87489e-01       4.04660e-02       4.87489e-01      
 2.97000e-01       1.41630e-08       4.88089e-10       4.00447e-15       1.57898e-11       4.87489e-01       4.07268e-02       4.87489e-01      
 3.06000e-01       1.80518e-08       6.32480e-10       4.18303e-15       2.03339e-11       4.87489e-01       4.10558e-02       4.87489e-01      
