
dc (V)            getData("M0:gm    getData("M0:id    getData("M0:cg    getData("M0:gd    getData("M0:vt    getData("M0:vd    getData("M0:vt

 0.00000e+00       9.43303e-13       4.78484e-14       3.74632e-15       7.55654e-16       4.86248e-01       3.93612e-02       4.86248e-01      
 9.00000e-03       1.26496e-12       5.68291e-14       3.73098e-15       1.01345e-15       4.86248e-01       3.93612e-02       4.86248e-01      
 1.80000e-02       1.69620e-12       6.92712e-14       3.71630e-15       1.35914e-15       4.86248e-01       3.93613e-02       4.86248e-01      
 2.70000e-02       2.27430e-12       8.63122e-14       3.70231e-15       1.82267e-15       4.86248e-01       3.93613e-02       4.86248e-01      
 3.60000e-02       3.04919e-12       1.09480e-13       3.68906e-15       2.44415e-15       4.86248e-01       3.93614e-02       4.86248e-01      
 4.50000e-02       4.08770e-12       1.40825e-13       3.67662e-15       3.27733e-15       4.86248e-01       3.93615e-02       4.86248e-01      
 5.40000e-02       5.47933e-12       1.83096e-13       3.66507e-15       4.39422e-15       4.86248e-01       3.93617e-02       4.86248e-01      
 6.30000e-02       7.34380e-12       2.39981e-13       3.65450e-15       5.89124e-15       4.86248e-01       3.93618e-02       4.86248e-01      
 7.20000e-02       9.84123e-12       3.16416e-13       3.64504e-15       7.89748e-15       4.86248e-01       3.93621e-02       4.86248e-01      
 8.10000e-02       1.31857e-11       4.19012e-13       3.63684e-15       1.05857e-14       4.86248e-01       3.93624e-02       4.86248e-01      
 9.00000e-02       1.76631e-11       5.56616e-13       3.63009e-15       1.41871e-14       4.86248e-01       3.93629e-02       4.86248e-01      
 9.90000e-02       2.36553e-11       7.41061e-13       3.62502e-15       1.90107e-14       4.86248e-01       3.93635e-02       4.86248e-01      
 1.08000e-01       3.16716e-11       9.88164e-13       3.62191e-15       2.54697e-14       4.86248e-01       3.93643e-02       4.86248e-01      
 1.17000e-01       4.23904e-11       1.31905e-12       3.62108e-15       3.41156e-14       4.86248e-01       3.93654e-02       4.86248e-01      
 1.26000e-01       5.67134e-11       1.76193e-12       3.62284e-15       4.56848e-14       4.86248e-01       3.93668e-02       4.86248e-01      
 1.35000e-01       7.58380e-11       2.35437e-12       3.62765e-15       6.11579e-14       4.86248e-01       3.93687e-02       4.86248e-01      
 1.44000e-01       1.01356e-10       3.14644e-12       3.63618e-15       8.18411e-14       4.86248e-01       3.93713e-02       4.86248e-01      
 1.53000e-01       1.35375e-10       4.20475e-12       3.64907e-15       1.09472e-13       4.86248e-01       3.93747e-02       4.86248e-01      
 1.62000e-01       1.80676e-10       5.61777e-12       3.66708e-15       1.46356e-13       4.86248e-01       3.93793e-02       4.86248e-01      
