
dc (V)            getData("M0:gm    getData("M0:id    getData("M0:cg    getData("M0:gd    getData("M0:vt    getData("M0:vd    getData("M0:vt

 0.00000e+00       1.02874e-12       5.04770e-14       3.43685e-15       8.89529e-16       4.86618e-01       3.94243e-02       4.86618e-01      
 9.00000e-03       1.37944e-12       6.03513e-14       3.42283e-15       1.19291e-15       4.86618e-01       3.94244e-02       4.86618e-01      
 1.80000e-02       1.84957e-12       7.39907e-14       3.40940e-15       1.59970e-15       4.86618e-01       3.94244e-02       4.86618e-01      
 2.70000e-02       2.47976e-12       9.26356e-14       3.39660e-15       2.14511e-15       4.86618e-01       3.94245e-02       4.86618e-01      
 3.60000e-02       3.32440e-12       1.17952e-13       3.38448e-15       2.87632e-15       4.86618e-01       3.94246e-02       4.86618e-01      
 4.50000e-02       4.45634e-12       1.52175e-13       3.37310e-15       3.85655e-15       4.86618e-01       3.94247e-02       4.86618e-01      
 5.40000e-02       5.97304e-12       1.98302e-13       3.36252e-15       5.17045e-15       4.86618e-01       3.94248e-02       4.86618e-01      
 6.30000e-02       8.00494e-12       2.60349e-13       3.35283e-15       6.93142e-15       4.86618e-01       3.94250e-02       4.86618e-01      
 7.20000e-02       1.07265e-11       3.43697e-13       3.34416e-15       9.29123e-15       4.86618e-01       3.94252e-02       4.86618e-01      
 8.10000e-02       1.43708e-11       4.55548e-13       3.33663e-15       1.24530e-14       4.86618e-01       3.94256e-02       4.86618e-01      
 9.00000e-02       1.92494e-11       6.05541e-13       3.33042e-15       1.66885e-14       4.86618e-01       3.94260e-02       4.86618e-01      
 9.90000e-02       2.57780e-11       8.06566e-13       3.32573e-15       2.23611e-14       4.86618e-01       3.94266e-02       4.86618e-01      
 1.08000e-01       3.45113e-11       1.07585e-12       3.32282e-15       2.99563e-14       4.86618e-01       3.94274e-02       4.86618e-01      
 1.17000e-01       4.61883e-11       1.43642e-12       3.32199e-15       4.01226e-14       4.86618e-01       3.94285e-02       4.86618e-01      
 1.26000e-01       6.17908e-11       1.91897e-12       3.32351e-15       5.37253e-14       4.86618e-01       3.94299e-02       4.86618e-01      
 1.35000e-01       8.26229e-11       2.56445e-12       3.32780e-15       7.19170e-14       4.86618e-01       3.94318e-02       4.86618e-01      
 1.44000e-01       1.10418e-10       3.42737e-12       3.33546e-15       9.62331e-14       4.86618e-01       3.94343e-02       4.86618e-01      
 1.53000e-01       1.47471e-10       4.58028e-12       3.34710e-15       1.28715e-13       4.86618e-01       3.94378e-02       4.86618e-01      
 1.62000e-01       1.96810e-10       6.11953e-12       3.36338e-15       1.72074e-13       4.86618e-01       3.94423e-02       4.86618e-01      
 1.71000e-01       2.62431e-10       8.17290e-12       3.38509e-15       2.29902e-13       4.86618e-01       3.94484e-02       4.86618e-01      
 1.80000e-01       3.49579e-10       1.09096e-11       3.41310e-15       3.06950e-13       4.86618e-01       3.94565e-02       4.86618e-01      
 1.89000e-01       4.65121e-10       1.45528e-11       3.44838e-15       4.09485e-13       4.86618e-01       3.94672e-02       4.86618e-01      
 1.98000e-01       6.18007e-10       1.93969e-11       3.49198e-15       5.45748e-13       4.86618e-01       3.94815e-02       4.86618e-01      
 2.07000e-01       8.19848e-10       2.58281e-11       3.54504e-15       7.26539e-13       4.86618e-01       3.95005e-02       4.86618e-01      
 2.16000e-01       1.08562e-09       3.43517e-11       3.60871e-15       9.65947e-13       4.86618e-01       3.95256e-02       4.86618e-01      
