
dc (V)            getData("M0:gm    getData("M0:id    getData("M0:cg    getData("M0:gd    getData("M0:vt    getData("M0:vd    getData("M0:vt

 0.00000e+00       2.96597e-12       1.12912e-13       5.33947e-15       4.78812e-15       5.23087e-01       4.09800e-02       5.23087e-01      
 9.00000e-03       3.97069e-12       1.43907e-13       5.31631e-15       6.41063e-15       5.23087e-01       4.09800e-02       5.23087e-01      
 1.80000e-02       5.31554e-12       1.85402e-13       5.29390e-15       8.58270e-15       5.23087e-01       4.09801e-02       5.23087e-01      
 2.70000e-02       7.11555e-12       2.40949e-13       5.27225e-15       1.14904e-14       5.23087e-01       4.09801e-02       5.23087e-01      
 3.60000e-02       9.52460e-12       3.15304e-13       5.25139e-15       1.53826e-14       5.23087e-01       4.09801e-02       5.23087e-01      
 4.50000e-02       1.27485e-11       4.14829e-13       5.23134e-15       2.05923e-14       5.23087e-01       4.09802e-02       5.23087e-01      
 5.40000e-02       1.70623e-11       5.48036e-13       5.21214e-15       2.75652e-14       5.23087e-01       4.09802e-02       5.23087e-01      
 6.30000e-02       2.28338e-11       7.26311e-13       5.19385e-15       3.68972e-14       5.23087e-01       4.09803e-02       5.23087e-01      
 7.20000e-02       3.05547e-11       9.64877e-13       5.17652e-15       4.93851e-14       5.23087e-01       4.09804e-02       5.23087e-01      
 8.10000e-02       4.08814e-11       1.28409e-12       5.16025e-15       6.60945e-14       5.23087e-01       4.09806e-02       5.23087e-01      
 9.00000e-02       5.46908e-11       1.71116e-12       5.14514e-15       8.84496e-14       5.23087e-01       4.09808e-02       5.23087e-01      
 9.90000e-02       7.31531e-11       2.28244e-12       5.13132e-15       1.18353e-13       5.23087e-01       4.09811e-02       5.23087e-01      
 1.08000e-01       9.78295e-11       3.04651e-12       5.11897e-15       1.58348e-13       5.23087e-01       4.09815e-02       5.23087e-01      
 1.17000e-01       1.30801e-10       4.06819e-12       5.10828e-15       2.11826e-13       5.23087e-01       4.09820e-02       5.23087e-01      
 1.26000e-01       1.74839e-10       5.43403e-12       5.09951e-15       2.83318e-13       5.23087e-01       4.09826e-02       5.23087e-01      
 1.35000e-01       2.33632e-10       7.25944e-12       5.09297e-15       3.78862e-13       5.23087e-01       4.09835e-02       5.23087e-01      
 1.44000e-01       3.12083e-10       9.69822e-12       5.08901e-15       5.06507e-13       5.23087e-01       4.09847e-02       5.23087e-01      
 1.53000e-01       4.16701e-10       1.29552e-11       5.08808e-15       6.76970e-13       5.23087e-01       4.09863e-02       5.23087e-01      
 1.62000e-01       5.56075e-10       1.73028e-11       5.09044e-15       9.04498e-13       5.23087e-01       4.09885e-02       5.23087e-01      
 1.71000e-01       7.41618e-10       2.31027e-11       5.09699e-15       1.20801e-12       5.23087e-01       4.09913e-02       5.23087e-01      
