
dc (V)            getData("M0:gm    getData("M0:id    getData("M0:cg    getData("M0:gd    getData("M0:vt    getData("M0:vd    getData("M0:vt

 0.00000e+00       3.91290e-12       1.42543e-13       4.03392e-15       8.05199e-15       5.26435e-01       4.14817e-02       5.26435e-01      
 9.00000e-03       5.23300e-12       1.83412e-13       4.01695e-15       1.07694e-14       5.26435e-01       4.14817e-02       5.26435e-01      
 1.80000e-02       6.99820e-12       2.38068e-13       4.00053e-15       1.44035e-14       5.26435e-01       4.14817e-02       5.26435e-01      
 2.70000e-02       9.35842e-12       3.11160e-13       3.98465e-15       1.92633e-14       5.26435e-01       4.14818e-02       5.26435e-01      
 3.60000e-02       1.25140e-11       4.08899e-13       3.96934e-15       2.57619e-14       5.26435e-01       4.14818e-02       5.26435e-01      
 4.50000e-02       1.67326e-11       5.39592e-13       3.95460e-15       3.44516e-14       5.26435e-01       4.14818e-02       5.26435e-01      
 5.40000e-02       2.23718e-11       7.14336e-13       3.94048e-15       4.60703e-14       5.26435e-01       4.14819e-02       5.26435e-01      
 6.30000e-02       2.99090e-11       9.47963e-13       3.92700e-15       6.16039e-14       5.26435e-01       4.14820e-02       5.26435e-01      
 7.20000e-02       3.99818e-11       1.26028e-12       3.91420e-15       8.23699e-14       5.26435e-01       4.14821e-02       5.26435e-01      
 8.10000e-02       5.34409e-11       1.67777e-12       3.90215e-15       1.10128e-13       5.26435e-01       4.14822e-02       5.26435e-01      
 9.00000e-02       7.14214e-11       2.23575e-12       3.89093e-15       1.47227e-13       5.26435e-01       4.14824e-02       5.26435e-01      
 9.90000e-02       9.54369e-11       2.98141e-12       3.88061e-15       1.96804e-13       5.26435e-01       4.14827e-02       5.26435e-01      
 1.08000e-01       1.27505e-10       3.97770e-12       3.87133e-15       2.63045e-13       5.26435e-01       4.14831e-02       5.26435e-01      
 1.17000e-01       1.70311e-10       5.30862e-12       3.86321e-15       3.51533e-13       5.26435e-01       4.14835e-02       5.26435e-01      
 1.26000e-01       2.27433e-10       7.08613e-12       3.85643e-15       4.69712e-13       5.26435e-01       4.14842e-02       5.26435e-01      
 1.35000e-01       3.03624e-10       9.45946e-12       3.85120e-15       6.27499e-13       5.26435e-01       4.14850e-02       5.26435e-01      
 1.44000e-01       4.05201e-10       1.26273e-11       3.84778e-15       8.38104e-13       5.26435e-01       4.14862e-02       5.26435e-01      
 1.53000e-01       5.40542e-10       1.68541e-11       3.84648e-15       1.11910e-12       5.26435e-01       4.14877e-02       5.26435e-01      
 1.62000e-01       7.20701e-10       2.24911e-11       3.84746e-15       1.49382e-12       5.26435e-01       4.14897e-02       5.26435e-01      
 1.71000e-01       9.60350e-10       3.00047e-11       3.85134e-15       1.99325e-12       5.26435e-01       4.14924e-02       5.26435e-01      
 1.80000e-01       1.27883e-09       4.00133e-11       3.85866e-15       2.65846e-12       5.26435e-01       4.14959e-02       5.26435e-01      
 1.89000e-01       1.70159e-09       5.33357e-11       3.86999e-15       3.54380e-12       5.26435e-01       4.15007e-02       5.26435e-01      
 1.98000e-01       2.26203e-09       7.10539e-11       3.88605e-15       4.72107e-12       5.26435e-01       4.15070e-02       5.26435e-01      
 2.07000e-01       3.00385e-09       9.45951e-11       3.90761e-15       6.28487e-12       5.26435e-01       4.15154e-02       5.26435e-01      
 2.16000e-01       3.98396e-09       1.25836e-10       3.93556e-15       8.35955e-12       5.26435e-01       4.15266e-02       5.26435e-01      
 2.25000e-01       5.27620e-09       1.67241e-10       3.97090e-15       1.11080e-11       5.26435e-01       4.15413e-02       5.26435e-01      
 2.34000e-01       6.97583e-09       2.22028e-10       4.01469e-15       1.47429e-11       5.26435e-01       4.15608e-02       5.26435e-01      
 2.43000e-01       9.20497e-09       2.94391e-10       4.06809e-15       1.95405e-11       5.26435e-01       4.15866e-02       5.26435e-01      
 2.52000e-01       1.21191e-08       3.89768e-10       4.13229e-15       2.58581e-11       5.26435e-01       4.16205e-02       5.26435e-01      
 2.61000e-01       1.59146e-08       5.15174e-10       4.20853e-15       3.41546e-11       5.26435e-01       4.16649e-02       5.26435e-01      
 2.70000e-01       2.08369e-08       6.79605e-10       4.29802e-15       4.50157e-11       5.26435e-01       4.17231e-02       5.26435e-01      
 2.79000e-01       2.71901e-08       8.94524e-10       4.40192e-15       5.91822e-11       5.26435e-01       4.17989e-02       5.26435e-01      
 2.88000e-01       3.53458e-08       1.17443e-09       4.52127e-15       7.75829e-11       5.26435e-01       4.18972e-02       5.26435e-01      
 2.97000e-01       4.57523e-08       1.53749e-09       4.65700e-15       1.01368e-10       5.26435e-01       4.20241e-02       5.26435e-01      
 3.06000e-01       5.89425e-08       2.00631e-09       4.80981e-15       1.31947e-10       5.26435e-01       4.21868e-02       5.26435e-01      
 3.15000e-01       7.55394e-08       2.60867e-09       4.98019e-15       1.71018e-10       5.26435e-01       4.23942e-02       5.26435e-01      
 3.24000e-01       9.62581e-08       3.37837e-09       5.16838e-15       2.20594e-10       5.26435e-01       4.26564e-02       5.26435e-01      
 3.33000e-01       1.21904e-07       4.35609e-09       5.37432e-15       2.83022e-10       5.26435e-01       4.29852e-02       5.26435e-01      
 3.42000e-01       1.53365e-07       5.59009e-09       5.59766e-15       3.60976e-10       5.26435e-01       4.33935e-02       5.26435e-01      
 3.51000e-01       1.91598e-07       7.13697e-09       5.83775e-15       4.57437e-10       5.26435e-01       4.38955e-02       5.26435e-01      
 3.60000e-01       2.37608e-07       9.06218e-09       6.09363e-15       5.75648e-10       5.26435e-01       4.45059e-02       5.26435e-01      
 3.69000e-01       2.92429e-07       1.14404e-08       6.36410e-15       7.19041e-10       5.26435e-01       4.52394e-02       5.26435e-01      
 3.78000e-01       3.57091e-07       1.43554e-08       6.64767e-15       8.91150e-10       5.26435e-01       4.61104e-02       5.26435e-01      
 3.87000e-01       4.32599e-07       1.79005e-08       6.94265e-15       1.09551e-09       5.26435e-01       4.71319e-02       5.26435e-01      
 3.96000e-01       5.19910e-07       2.21776e-08       7.24717e-15       1.33556e-09       5.26435e-01       4.83153e-02       5.26435e-01      
 4.05000e-01       6.19934e-07       2.72971e-08       7.55923e-15       1.61457e-09       5.26435e-01       4.96696e-02       5.26435e-01      
 4.14000e-01       7.33532e-07       3.33772e-08       7.87673e-15       1.93555e-09       5.26435e-01       5.12017e-02       5.26435e-01      
 4.23000e-01       8.61550e-07       4.05439e-08       8.19755e-15       2.30128e-09       5.26435e-01       5.29160e-02       5.26435e-01      
 4.32000e-01       1.00485e-06       4.89309e-08       8.51960e-15       2.71427e-09       5.26435e-01       5.48151e-02       5.26435e-01      
 4.41000e-01       1.16437e-06       5.86799e-08       8.84082e-15       3.17685e-09       5.26435e-01       5.68998e-02       5.26435e-01      
 4.50000e-01       1.34112e-06       6.99412e-08       9.15928e-15       3.69119e-09       5.26435e-01       5.91700e-02       5.26435e-01      
 4.59000e-01       1.53627e-06       8.28752e-08       9.47320e-15       4.25942e-09       5.26435e-01       6.16246e-02       5.26435e-01      
 4.68000e-01       1.75108e-06       9.76530e-08       9.78094e-15       4.88365e-09       5.26435e-01       6.42628e-02       5.26435e-01      
 4.77000e-01       1.98697e-06       1.14458e-07       1.00811e-14       5.56604e-09       5.26435e-01       6.70834e-02       5.26435e-01      
 4.86000e-01       2.24538e-06       1.33486e-07       1.03724e-14       6.30885e-09       5.26435e-01       7.00856e-02       5.26435e-01      
 4.95000e-01       2.52782e-06       1.54947e-07       1.06538e-14       7.11445e-09       5.26435e-01       7.32689e-02       5.26435e-01      
 5.04000e-01       2.83574e-06       1.79063e-07       1.09246e-14       7.98529e-09       5.26435e-01       7.66327e-02       5.26435e-01      
 5.13000e-01       3.17050e-06       2.06071e-07       1.11841e-14       8.92391e-09       5.26435e-01       8.01769e-02       5.26435e-01      
 5.22000e-01       3.53331e-06       2.36216e-07       1.14319e-14       9.93290e-09       5.26435e-01       8.39009e-02       5.26435e-01      
 5.31000e-01       3.92517e-06       2.69757e-07       1.16678e-14       1.10148e-08       5.26435e-01       8.78042e-02       5.26435e-01      
 5.40000e-01       4.34682e-06       3.06959e-07       1.18916e-14       1.21723e-08       5.26435e-01       9.18858e-02       5.26435e-01      
 5.49000e-01       4.79875e-06       3.48091e-07       1.21035e-14       1.34079e-08       5.26435e-01       9.61441e-02       5.26435e-01      
 5.58000e-01       5.28112e-06       3.93428e-07       1.23035e-14       1.47238e-08       5.26435e-01       1.00577e-01       5.26435e-01      
 5.67000e-01       5.79380e-06       4.43242e-07       1.24919e-14       1.61226e-08       5.26435e-01       1.05182e-01       5.26435e-01      
 5.76000e-01       6.33637e-06       4.97806e-07       1.26691e-14       1.76063e-08       5.26435e-01       1.09956e-01       5.26435e-01      
 5.85000e-01       6.90809e-06       5.57384e-07       1.28355e-14       1.91769e-08       5.26435e-01       1.14895e-01       5.26435e-01      
 5.94000e-01       7.50799e-06       6.22236e-07       1.29915e-14       2.08364e-08       5.26435e-01       1.19993e-01       5.26435e-01      
 6.03000e-01       8.13485e-06       6.92609e-07       1.31376e-14       2.25865e-08       5.26435e-01       1.25247e-01       5.26435e-01      
 6.12000e-01       8.78726e-06       7.68740e-07       1.32743e-14       2.44288e-08       5.26435e-01       1.30650e-01       5.26435e-01      
 6.21000e-01       9.46364e-06       8.50852e-07       1.34022e-14       2.63648e-08       5.26435e-01       1.36197e-01       5.26435e-01      
 6.30000e-01       1.01623e-05       9.39152e-07       1.35216e-14       2.83959e-08       5.26435e-01       1.41880e-01       5.26435e-01      
 6.39000e-01       1.08815e-05       1.03383e-06       1.36333e-14       3.05236e-08       5.26435e-01       1.47694e-01       5.26435e-01      
 6.48000e-01       1.16194e-05       1.13508e-06       1.37375e-14       3.27490e-08       5.26435e-01       1.53632e-01       5.26435e-01      
 6.57000e-01       1.23742e-05       1.24303e-06       1.38349e-14       3.50734e-08       5.26435e-01       1.59687e-01       5.26435e-01      
 6.66000e-01       1.31440e-05       1.35786e-06       1.39259e-14       3.74982e-08       5.26435e-01       1.65852e-01       5.26435e-01      
 6.75000e-01       1.39272e-05       1.47967e-06       1.40109e-14       4.00245e-08       5.26435e-01       1.72122e-01       5.26435e-01      
 6.84000e-01       1.47220e-05       1.60858e-06       1.40905e-14       4.26539e-08       5.26435e-01       1.78488e-01       5.26435e-01      
 6.93000e-01       1.55269e-05       1.74469e-06       1.41648e-14       4.53876e-08       5.26435e-01       1.84946e-01       5.26435e-01      
 7.02000e-01       1.63402e-05       1.88809e-06       1.42345e-14       4.82272e-08       5.26435e-01       1.91489e-01       5.26435e-01      
 7.11000e-01       1.71607e-05       2.03884e-06       1.42997e-14       5.11743e-08       5.26435e-01       1.98112e-01       5.26435e-01      
 7.20000e-01       1.79870e-05       2.19700e-06       1.43609e-14       5.42307e-08       5.26435e-01       2.04808e-01       5.26435e-01      
 7.29000e-01       1.88179e-05       2.36262e-06       1.44183e-14       5.73983e-08       5.26435e-01       2.11573e-01       5.26435e-01      
 7.38000e-01       1.96523e-05       2.53573e-06       1.44723e-14       6.06791e-08       5.26435e-01       2.18401e-01       5.26435e-01      
 7.47000e-01       2.04892e-05       2.71637e-06       1.45230e-14       6.40755e-08       5.26435e-01       2.25289e-01       5.26435e-01      
 7.56000e-01       2.13277e-05       2.90454e-06       1.45708e-14       6.75898e-08       5.26435e-01       2.32232e-01       5.26435e-01      
 7.65000e-01       2.21671e-05       3.10027e-06       1.46159e-14       7.12247e-08       5.26435e-01       2.39226e-01       5.26435e-01      
 7.74000e-01       2.30065e-05       3.30355e-06       1.46584e-14       7.49832e-08       5.26435e-01       2.46267e-01       5.26435e-01      
 7.83000e-01       2.38454e-05       3.51438e-06       1.46987e-14       7.88683e-08       5.26435e-01       2.53352e-01       5.26435e-01      
 7.92000e-01       2.46832e-05       3.73276e-06       1.47367e-14       8.28834e-08       5.26435e-01       2.60477e-01       5.26435e-01      
 8.01000e-01       2.55194e-05       3.95868e-06       1.47728e-14       8.70322e-08       5.26435e-01       2.67640e-01       5.26435e-01      
 8.10000e-01       2.63536e-05       4.19211e-06       1.48071e-14       9.13187e-08       5.26435e-01       2.74839e-01       5.26435e-01      
 8.19000e-01       2.71852e-05       4.43303e-06       1.48397e-14       9.57471e-08       5.26435e-01       2.82070e-01       5.26435e-01      
 8.28000e-01       2.80141e-05       4.68143e-06       1.48707e-14       1.00322e-07       5.26435e-01       2.89331e-01       5.26435e-01      
 8.37000e-01       2.88399e-05       4.93728e-06       1.49003e-14       1.05048e-07       5.26435e-01       2.96621e-01       5.26435e-01      
 8.46000e-01       2.96623e-05       5.20054e-06       1.49285e-14       1.09931e-07       5.26435e-01       3.03938e-01       5.26435e-01      
 8.55000e-01       3.04811e-05       5.47119e-06       1.49555e-14       1.14976e-07       5.26435e-01       3.11279e-01       5.26435e-01      
 8.64000e-01       3.12960e-05       5.74919e-06       1.49813e-14       1.20190e-07       5.26435e-01       3.18644e-01       5.26435e-01      
 8.73000e-01       3.21069e-05       6.03451e-06       1.50061e-14       1.25579e-07       5.26435e-01       3.26030e-01       5.26435e-01      
 8.82000e-01       3.29136e-05       6.32710e-06       1.50298e-14       1.31149e-07       5.26435e-01       3.33438e-01       5.26435e-01      
 8.91000e-01       3.37159e-05       6.62694e-06       1.50527e-14       1.36909e-07       5.26435e-01       3.40864e-01       5.26435e-01      
 9.00000e-01       3.45137e-05       6.93398e-06       1.50747e-14       1.42866e-07       5.26435e-01       3.48310e-01       5.26435e-01      
 9.09000e-01       3.53068e-05       7.24817e-06       1.50958e-14       1.49029e-07       5.26435e-01       3.55773e-01       5.26435e-01      
 9.18000e-01       3.60950e-05       7.56948e-06       1.51163e-14       1.55407e-07       5.26435e-01       3.63252e-01       5.26435e-01      
 9.27000e-01       3.68784e-05       7.89787e-06       1.51360e-14       1.62010e-07       5.26435e-01       3.70748e-01       5.26435e-01      
 9.36000e-01       3.76567e-05       8.23328e-06       1.51551e-14       1.68848e-07       5.26435e-01       3.78259e-01       5.26435e-01      
 9.45000e-01       3.84299e-05       8.57567e-06       1.51736e-14       1.75933e-07       5.26435e-01       3.85785e-01       5.26435e-01      
 9.54000e-01       3.91977e-05       8.92500e-06       1.51916e-14       1.83277e-07       5.26435e-01       3.93325e-01       5.26435e-01      
 9.63000e-01       3.99602e-05       9.28122e-06       1.52090e-14       1.90892e-07       5.26435e-01       4.00879e-01       5.26435e-01      
 9.72000e-01       4.07172e-05       9.64427e-06       1.52259e-14       1.98793e-07       5.26435e-01       4.08446e-01       5.26435e-01      
 9.81000e-01       4.14686e-05       1.00141e-05       1.52424e-14       2.06995e-07       5.26435e-01       4.16026e-01       5.26435e-01      
 9.90000e-01       4.22143e-05       1.03907e-05       1.52585e-14       2.15514e-07       5.26435e-01       4.23619e-01       5.26435e-01      
