
dc (V)            getData("M0:gm    getData("M0:id    getData("M0:cg    getData("M0:gd    getData("M0:vt    getData("M0:vd    getData("M0:vt

 0.00000e+00       1.04453e-12       5.34504e-14       1.57863e-14       7.42538e-16       5.15831e-01       4.00371e-02       5.15831e-01      
 9.00000e-03       1.40095e-12       6.43768e-14       1.57137e-14       9.96007e-16       5.15831e-01       4.00371e-02       5.15831e-01      
 1.80000e-02       1.87892e-12       7.90312e-14       1.56435e-14       1.33596e-15       5.15831e-01       4.00372e-02       5.15831e-01      
 2.70000e-02       2.51984e-12       9.86848e-14       1.55758e-14       1.79189e-15       5.15831e-01       4.00372e-02       5.15831e-01      
 3.60000e-02       3.37917e-12       1.25042e-13       1.55107e-14       2.40331e-15       5.15831e-01       4.00372e-02       5.15831e-01      
 4.50000e-02       4.53126e-12       1.60386e-13       1.54483e-14       3.22322e-15       5.15831e-01       4.00373e-02       5.15831e-01      
 5.40000e-02       6.07564e-12       2.07778e-13       1.53888e-14       4.32262e-15       5.15831e-01       4.00374e-02       5.15831e-01      
 6.30000e-02       8.14562e-12       2.71320e-13       1.53322e-14       5.79665e-15       5.15831e-01       4.00375e-02       5.15831e-01      
 7.20000e-02       1.09196e-11       3.56505e-13       1.52789e-14       7.77276e-15       5.15831e-01       4.00376e-02       5.15831e-01      
 8.10000e-02       1.46365e-11       4.70694e-13       1.52292e-14       1.04217e-14       5.15831e-01       4.00378e-02       5.15831e-01      
 9.00000e-02       1.96155e-11       6.23738e-13       1.51835e-14       1.39719e-14       5.15831e-01       4.00380e-02       5.15831e-01      
 9.90000e-02       2.62835e-11       8.28825e-13       1.51422e-14       1.87294e-14       5.15831e-01       4.00383e-02       5.15831e-01      
 1.08000e-01       3.52109e-11       1.10360e-12       1.51059e-14       2.51033e-14       5.15831e-01       4.00388e-02       5.15831e-01      
 1.17000e-01       4.71589e-11       1.47166e-12       1.50755e-14       3.36411e-14       5.15831e-01       4.00394e-02       5.15831e-01      
 1.26000e-01       6.31428e-11       1.96454e-12       1.50517e-14       4.50739e-14       5.15831e-01       4.00401e-02       5.15831e-01      
 1.35000e-01       8.45154e-11       2.62435e-12       1.50357e-14       6.03787e-14       5.15831e-01       4.00412e-02       5.15831e-01      
 1.44000e-01       1.13077e-10       3.50732e-12       1.50287e-14       8.08588e-14       5.15831e-01       4.00426e-02       5.15831e-01      
 1.53000e-01       1.51218e-10       4.68839e-12       1.50324e-14       1.08252e-13       5.15831e-01       4.00444e-02       5.15831e-01      
 1.62000e-01       2.02097e-10       6.26734e-12       1.50478e-14       1.44871e-13       5.15831e-01       4.00469e-02       5.15831e-01      
 1.71000e-01       2.69914e-10       8.37682e-12       1.50779e-14       1.93789e-13       5.15831e-01       4.00503e-02       5.15831e-01      
 1.80000e-01       3.60204e-10       1.11930e-11       1.51253e-14       2.59089e-13       5.15831e-01       4.00547e-02       5.15831e-01      
 1.89000e-01       4.80252e-10       1.49495e-11       1.51931e-14       3.46178e-13       5.15831e-01       4.00607e-02       5.15831e-01      
 1.98000e-01       6.39618e-10       1.99552e-11       1.52846e-14       4.62202e-13       5.15831e-01       4.00686e-02       5.15831e-01      
 2.07000e-01       8.50794e-10       2.66177e-11       1.54038e-14       6.16584e-13       5.15831e-01       4.00791e-02       5.15831e-01      
 2.16000e-01       1.13003e-09       3.54732e-11       1.55550e-14       8.21706e-13       5.15831e-01       4.00931e-02       5.15831e-01      
 2.25000e-01       1.49834e-09       4.72249e-11       1.57428e-14       1.09378e-12       5.15831e-01       4.01116e-02       5.15831e-01      
 2.34000e-01       1.98276e-09       6.27909e-11       1.59723e-14       1.45392e-12       5.15831e-01       4.01361e-02       5.15831e-01      
 2.43000e-01       2.61779e-09       8.33655e-11       1.62489e-14       1.92953e-12       5.15831e-01       4.01684e-02       5.15831e-01      
 2.52000e-01       3.44709e-09       1.10493e-10       1.65779e-14       2.55589e-12       5.15831e-01       4.02110e-02       5.15831e-01      
 2.61000e-01       4.52543e-09       1.46159e-10       1.69647e-14       3.37819e-12       5.15831e-01       4.02669e-02       5.15831e-01      
