
dc (V)            getData("M0:gm    getData("M0:id    getData("M0:cg    getData("M0:gd    getData("M0:vt    getData("M0:vd    getData("M0:vt

 0.00000e+00       3.71298e-12       1.36269e-13       4.25150e-15       7.29587e-15       5.25744e-01       4.13758e-02       5.25744e-01      
 9.00000e-03       4.96671e-12       1.75054e-13       4.23350e-15       9.76022e-15       5.25744e-01       4.13758e-02       5.25744e-01      
 1.80000e-02       6.64354e-12       2.26935e-13       4.21608e-15       1.30566e-14       5.25744e-01       4.13758e-02       5.25744e-01      
 2.70000e-02       8.88608e-12       2.96330e-13       4.19924e-15       1.74658e-14       5.25744e-01       4.13758e-02       5.25744e-01      
 3.60000e-02       1.18850e-11       3.89148e-13       4.18300e-15       2.33632e-14       5.25744e-01       4.13758e-02       5.25744e-01      
 4.50000e-02       1.58950e-11       5.13285e-13       4.16738e-15       3.12506e-14       5.25744e-01       4.13759e-02       5.25744e-01      
 5.40000e-02       2.12565e-11       6.79300e-13       4.15240e-15       4.17988e-14       5.25744e-01       4.13760e-02       5.25744e-01      
 6.30000e-02       2.84241e-11       9.01305e-13       4.13812e-15       5.59044e-14       5.25744e-01       4.13760e-02       5.25744e-01      
 7.20000e-02       3.80049e-11       1.19815e-12       4.12457e-15       7.47653e-14       5.25744e-01       4.13762e-02       5.25744e-01      
 8.10000e-02       5.08094e-11       1.59504e-12       4.11181e-15       9.99821e-14       5.25744e-01       4.13763e-02       5.25744e-01      
 9.00000e-02       6.79189e-11       2.12560e-12       4.09994e-15       1.33692e-13       5.25744e-01       4.13765e-02       5.25744e-01      
 9.90000e-02       9.07759e-11       2.83477e-12       4.08903e-15       1.78750e-13       5.25744e-01       4.13768e-02       5.25744e-01      
 1.08000e-01       1.21303e-10       3.78251e-12       4.07923e-15       2.38966e-13       5.25744e-01       4.13771e-02       5.25744e-01      
 1.17000e-01       1.62061e-10       5.04883e-12       4.07068e-15       3.19421e-13       5.25744e-01       4.13776e-02       5.25744e-01      
 1.26000e-01       2.16460e-10       6.74042e-12       4.06357e-15       4.26893e-13       5.25744e-01       4.13783e-02       5.25744e-01      
 1.35000e-01       2.89034e-10       8.99949e-12       4.05811e-15       5.70416e-13       5.25744e-01       4.13791e-02       5.25744e-01      
 1.44000e-01       3.85806e-10       1.20154e-11       4.05459e-15       7.62019e-13       5.25744e-01       4.13803e-02       5.25744e-01      
 1.53000e-01       5.14769e-10       1.60403e-11       4.05334e-15       1.01771e-12       5.25744e-01       4.13818e-02       5.25744e-01      
 1.62000e-01       6.86468e-10       2.14091e-11       4.05454e-15       1.35876e-12       5.25744e-01       4.13838e-02       5.25744e-01      
 1.71000e-01       9.14902e-10       2.85665e-11       4.05886e-15       1.81339e-12       5.25744e-01       4.13865e-02       5.25744e-01      
 1.80000e-01       1.21853e-09       3.81024e-11       4.06685e-15       2.41904e-12       5.25744e-01       4.13902e-02       5.25744e-01      
 1.89000e-01       1.62162e-09       5.07976e-11       4.07915e-15       3.22525e-12       5.25744e-01       4.13950e-02       5.25744e-01      
 1.98000e-01       2.15607e-09       6.76847e-11       4.09651e-15       4.29746e-12       5.25744e-01       4.14014e-02       5.25744e-01      
 2.07000e-01       2.86357e-09       9.01248e-11       4.11977e-15       5.72193e-12       5.25744e-01       4.14099e-02       5.25744e-01      
 2.16000e-01       3.79842e-09       1.19909e-10       4.14988e-15       7.61203e-12       5.25744e-01       4.14212e-02       5.25744e-01      
