
dc (V)            getData("M0:gm    getData("M0:id    getData("M0:cg    getData("M0:gd    getData("M0:vt    getData("M0:vd    getData("M0:vt

 0.00000e+00       1.51486e-12       6.79178e-14       1.06713e-14       1.39279e-15       5.17644e-01       4.02277e-02       5.17644e-01      
 9.00000e-03       2.03108e-12       8.37612e-14       1.06229e-14       1.86758e-15       5.17644e-01       4.02277e-02       5.17644e-01      
 1.80000e-02       2.72311e-12       1.05003e-13       1.05761e-14       2.50416e-15       5.17644e-01       4.02277e-02       5.17644e-01      
 2.70000e-02       3.65075e-12       1.33482e-13       1.05310e-14       3.35761e-15       5.17644e-01       4.02278e-02       5.17644e-01      
 3.60000e-02       4.89410e-12       1.71661e-13       1.04875e-14       4.50176e-15       5.17644e-01       4.02278e-02       5.17644e-01      
 4.50000e-02       6.56048e-12       2.22841e-13       1.04459e-14       6.03552e-15       5.17644e-01       4.02278e-02       5.17644e-01      
 5.40000e-02       8.79354e-12       2.91445e-13       1.04060e-14       8.09141e-15       5.17644e-01       4.02279e-02       5.17644e-01      
 6.30000e-02       1.17856e-11       3.83396e-13       1.03682e-14       1.08470e-14       5.17644e-01       4.02280e-02       5.17644e-01      
 7.20000e-02       1.57941e-11       5.06627e-13       1.03325e-14       1.45399e-14       5.17644e-01       4.02281e-02       5.17644e-01      
 8.10000e-02       2.11632e-11       6.71760e-13       1.02991e-14       1.94885e-14       5.17644e-01       4.02283e-02       5.17644e-01      
 9.00000e-02       2.83534e-11       8.93012e-13       1.02683e-14       2.61188e-14       5.17644e-01       4.02285e-02       5.17644e-01      
 9.90000e-02       3.79798e-11       1.18941e-12       1.02405e-14       3.50009e-14       5.17644e-01       4.02289e-02       5.17644e-01      
 1.08000e-01       5.08641e-11       1.58639e-12       1.02159e-14       4.68973e-14       5.17644e-01       4.02293e-02       5.17644e-01      
 1.17000e-01       6.81031e-11       2.11799e-12       1.01950e-14       6.28272e-14       5.17644e-01       4.02298e-02       5.17644e-01      
 1.26000e-01       9.11590e-11       2.82965e-12       1.01785e-14       8.41526e-14       5.17644e-01       4.02306e-02       5.17644e-01      
 1.35000e-01       1.21980e-10       3.78208e-12       1.01670e-14       1.12692e-13       5.17644e-01       4.02316e-02       5.17644e-01      
 1.44000e-01       1.63158e-10       5.05628e-12       1.01614e-14       1.50872e-13       5.17644e-01       4.02329e-02       5.17644e-01      
 1.53000e-01       2.18135e-10       6.76021e-12       1.01627e-14       2.01926e-13       5.17644e-01       4.02347e-02       5.17644e-01      
 1.62000e-01       2.91460e-10       9.03759e-12       1.01715e-14       2.70157e-13       5.17644e-01       4.02371e-02       5.17644e-01      
 1.71000e-01       3.89179e-10       1.20795e-11       1.01898e-14       3.61286e-13       5.17644e-01       4.02403e-02       5.17644e-01      
 1.80000e-01       5.19262e-10       1.61397e-11       1.02194e-14       4.82907e-13       5.17644e-01       4.02445e-02       5.17644e-01      
 1.89000e-01       6.92203e-10       2.15544e-11       1.02621e-14       6.45080e-13       5.17644e-01       4.02502e-02       5.17644e-01      
 1.98000e-01       9.21777e-10       2.87688e-11       1.03202e-14       8.61108e-13       5.17644e-01       4.02578e-02       5.17644e-01      
 2.07000e-01       1.22599e-09       3.83698e-11       1.03963e-14       1.14853e-12       5.17644e-01       4.02678e-02       5.17644e-01      
 2.16000e-01       1.62827e-09       5.11301e-11       1.04930e-14       1.53039e-12       5.17644e-01       4.02812e-02       5.17644e-01      
 2.25000e-01       2.15896e-09       6.80630e-11       1.06136e-14       2.03688e-12       5.17644e-01       4.02989e-02       5.17644e-01      
 2.34000e-01       2.85711e-09       9.04928e-11       1.07614e-14       2.70737e-12       5.17644e-01       4.03223e-02       5.17644e-01      
 2.43000e-01       3.77261e-09       1.20142e-10       1.09398e-14       3.59295e-12       5.17644e-01       4.03532e-02       5.17644e-01      
 2.52000e-01       4.96871e-09       1.59240e-10       1.11524e-14       4.75951e-12       5.17644e-01       4.03940e-02       5.17644e-01      
 2.61000e-01       6.52481e-09       2.10657e-10       1.14029e-14       6.29145e-12       5.17644e-01       4.04474e-02       5.17644e-01      
 2.70000e-01       8.53963e-09       2.78061e-10       1.16945e-14       8.29603e-12       5.17644e-01       4.05172e-02       5.17644e-01      
 2.79000e-01       1.11343e-08       3.66107e-10       1.20306e-14       1.09083e-11       5.17644e-01       4.06080e-02       5.17644e-01      
 2.88000e-01       1.44557e-08       4.80656e-10       1.24138e-14       1.42964e-11       5.17644e-01       4.07257e-02       5.17644e-01      
 2.97000e-01       1.86790e-08       6.29013e-10       1.28463e-14       1.86671e-11       5.17644e-01       4.08770e-02       5.17644e-01      
 3.06000e-01       2.40100e-08       8.20198e-10       1.33297e-14       2.42714e-11       5.17644e-01       4.10704e-02       5.17644e-01      
 3.15000e-01       3.06858e-08       1.06522e-09       1.38647e-14       3.14087e-11       5.17644e-01       4.13158e-02       5.17644e-01      
 3.24000e-01       3.89748e-08       1.37738e-09       1.44514e-14       4.04300e-11       5.17644e-01       4.16243e-02       5.17644e-01      
 3.33000e-01       4.91742e-08       1.77250e-09       1.50887e-14       5.17388e-11       5.17644e-01       4.20087e-02       5.17644e-01      
 3.42000e-01       6.16057e-08       2.26921e-09       1.57748e-14       6.57888e-11       5.17644e-01       4.24826e-02       5.17644e-01      
 3.51000e-01       7.66097e-08       2.88912e-09       1.65071e-14       8.30785e-11       5.17644e-01       4.30605e-02       5.17644e-01      
 3.60000e-01       9.45368e-08       3.65695e-09       1.72821e-14       1.04142e-10       5.17644e-01       4.37569e-02       5.17644e-01      
 3.69000e-01       1.15740e-07       4.60061e-09       1.80955e-14       1.29536e-10       5.17644e-01       4.45858e-02       5.17644e-01      
 3.78000e-01       1.40564e-07       5.75113e-09       1.89422e-14       1.59828e-10       5.17644e-01       4.55603e-02       5.17644e-01      
 3.87000e-01       1.69343e-07       7.14263e-09       1.98170e-14       1.95581e-10       5.17644e-01       4.66915e-02       5.17644e-01      
 3.96000e-01       2.02393e-07       8.81212e-09       2.07139e-14       2.37339e-10       5.17644e-01       4.79886e-02       5.17644e-01      
 4.05000e-01       2.40019e-07       1.07994e-08       2.16268e-14       2.85624e-10       5.17644e-01       4.94584e-02       5.17644e-01      
 4.14000e-01       2.82520e-07       1.31471e-08       2.25494e-14       3.40926e-10       5.17644e-01       5.11057e-02       5.17644e-01      
 4.23000e-01       3.30206e-07       1.59003e-08       2.34757e-14       4.03707e-10       5.17644e-01       5.29329e-02       5.17644e-01      
 4.32000e-01       3.83409e-07       1.91073e-08       2.43996e-14       4.74406e-10       5.17644e-01       5.49413e-02       5.17644e-01      
 4.41000e-01       4.42497e-07       2.28194e-08       2.53154e-14       5.53449e-10       5.17644e-01       5.71306e-02       5.17644e-01      
 4.50000e-01       5.07884e-07       2.70912e-08       2.62180e-14       6.41258e-10       5.17644e-01       5.95005e-02       5.17644e-01      
