
dc (V)            getData("M0:gm    getData("M0:id    getData("M0:cg    getData("M0:gd    getData("M0:vt    getData("M0:vd    getData("M0:vt

 0.00000e+00       1.48773e-12       6.46207e-14       2.38814e-15       1.78101e-15       4.88525e-01       3.97629e-02       4.88525e-01      
 9.00000e-03       1.99410e-12       7.92945e-14       2.37857e-15       2.38750e-15       4.88525e-01       3.97630e-02       4.88525e-01      
 1.80000e-02       2.67266e-12       9.93611e-14       2.36940e-15       3.20038e-15       4.88525e-01       3.97630e-02       4.88525e-01      
 2.70000e-02       3.58190e-12       1.26612e-13       2.36064e-15       4.28984e-15       4.88525e-01       3.97631e-02       4.88525e-01      
 3.60000e-02       4.80008e-12       1.63452e-13       2.35234e-15       5.74986e-15       4.88525e-01       3.97631e-02       4.88525e-01      
 4.50000e-02       6.43199e-12       2.13104e-13       2.34453e-15       7.70634e-15       4.88525e-01       3.97632e-02       4.88525e-01      
 5.40000e-02       8.61779e-12       2.79886e-13       2.33726e-15       1.03278e-14       4.88525e-01       3.97634e-02       4.88525e-01      
 6.30000e-02       1.15450e-11       3.69581e-13       2.33058e-15       1.38399e-14       4.88525e-01       3.97636e-02       4.88525e-01      
 7.20000e-02       1.54642e-11       4.89935e-13       2.32457e-15       1.85446e-14       4.88525e-01       3.97638e-02       4.88525e-01      
 8.10000e-02       2.07105e-11       6.51308e-13       2.31932e-15       2.48458e-14       4.88525e-01       3.97641e-02       4.88525e-01      
 9.00000e-02       2.77312e-11       8.67561e-13       2.31494e-15       3.32837e-14       4.88525e-01       3.97645e-02       4.88525e-01      
 9.90000e-02       3.71232e-11       1.15722e-12       2.31158e-15       4.45804e-14       4.88525e-01       3.97651e-02       4.88525e-01      
 1.08000e-01       4.96827e-11       1.54506e-12       2.30938e-15       5.97006e-14       4.88525e-01       3.97659e-02       4.88525e-01      
 1.17000e-01       6.64703e-11       2.06413e-12       2.30856e-15       7.99323e-14       4.88525e-01       3.97669e-02       4.88525e-01      
 1.26000e-01       8.88947e-11       2.75854e-12       2.30929e-15       1.06994e-13       4.88525e-01       3.97683e-02       4.88525e-01      
 1.35000e-01       1.18827e-10       3.68706e-12       2.31184e-15       1.43173e-13       4.88525e-01       3.97701e-02       4.88525e-01      
 1.44000e-01       1.58754e-10       4.92797e-12       2.31663e-15       1.91517e-13       4.88525e-01       3.97725e-02       4.88525e-01      
 1.53000e-01       2.11966e-10       6.58537e-12       2.32403e-15       2.56078e-13       4.88525e-01       3.97758e-02       4.88525e-01      
 1.62000e-01       2.82811e-10       8.79755e-12       2.33451e-15       3.42234e-13       4.88525e-01       3.97802e-02       4.88525e-01      
 1.71000e-01       3.77017e-10       1.17479e-11       2.34858e-15       4.57114e-13       4.88525e-01       3.97860e-02       4.88525e-01      
 1.80000e-01       5.02113e-10       1.56791e-11       2.36682e-15       6.10144e-13       4.88525e-01       3.97937e-02       4.88525e-01      
 1.89000e-01       6.67955e-10       2.09116e-11       2.38988e-15       8.13760e-13       4.88525e-01       3.98040e-02       4.88525e-01      
 1.98000e-01       8.87395e-10       2.78677e-11       2.41847e-15       1.08432e-12       4.88525e-01       3.98177e-02       4.88525e-01      
 2.07000e-01       1.17712e-09       3.71018e-11       2.45334e-15       1.44325e-12       4.88525e-01       3.98358e-02       4.88525e-01      
 2.16000e-01       1.55865e-09       4.93396e-11       2.49528e-15       1.91855e-12       4.88525e-01       3.98599e-02       4.88525e-01      
 2.25000e-01       2.05961e-09       6.55270e-11       2.54510e-15       2.54656e-12       4.88525e-01       3.98916e-02       4.88525e-01      
 2.34000e-01       2.71516e-09       8.68913e-11       2.60358e-15       3.37423e-12       4.88525e-01       3.99334e-02       4.88525e-01      
 2.43000e-01       3.56971e-09       1.15017e-10       2.67150e-15       4.46179e-12       4.88525e-01       3.99883e-02       4.88525e-01      
 2.52000e-01       4.67881e-09       1.51936e-10       2.74952e-15       5.88588e-12       4.88525e-01       4.00602e-02       4.88525e-01      
 2.61000e-01       6.11120e-09       2.00239e-10       2.83825e-15       7.74317e-12       4.88525e-01       4.01539e-02       4.88525e-01      
 2.70000e-01       7.95099e-09       2.63205e-10       2.93813e-15       1.01542e-11       4.88525e-01       4.02754e-02       4.88525e-01      
 2.79000e-01       1.02997e-08       3.44943e-10       3.04948e-15       1.32675e-11       4.88525e-01       4.04321e-02       4.88525e-01      
 2.88000e-01       1.32781e-08       4.50565e-10       3.17241e-15       1.72634e-11       4.88525e-01       4.06329e-02       4.88525e-01      
 2.97000e-01       1.70275e-08       5.86360e-10       3.30688e-15       2.23569e-11       4.88525e-01       4.08885e-02       4.88525e-01      
 3.06000e-01       2.17108e-08       7.59989e-10       3.45263e-15       2.88002e-11       4.88525e-01       4.12109e-02       4.88525e-01      
