
dc (V)            getData("M0:gm    getData("M0:id    getData("M0:cg    getData("M0:gd    getData("M0:vt    getData("M0:vd    getData("M0:vt

 0.00000e+00       1.69992e-12       7.36289e-14       9.47431e-15       1.71533e-15       5.18354e-01       4.03214e-02       5.18354e-01      
 9.00000e-03       2.27879e-12       9.14061e-14       9.43157e-15       2.29964e-15       5.18354e-01       4.03214e-02       5.18354e-01      
 1.80000e-02       3.05464e-12       1.15236e-13       9.39025e-15       3.08291e-15       5.18354e-01       4.03214e-02       5.18354e-01      
 2.70000e-02       4.09445e-12       1.47179e-13       9.35038e-15       4.13283e-15       5.18354e-01       4.03215e-02       5.18354e-01      
 3.60000e-02       5.48791e-12       1.89994e-13       9.31200e-15       5.54011e-15       5.18354e-01       4.03215e-02       5.18354e-01      
 4.50000e-02       7.35510e-12       2.47379e-13       9.27517e-15       7.42626e-15       5.18354e-01       4.03216e-02       5.18354e-01      
 5.40000e-02       9.85683e-12       3.24285e-13       9.23997e-15       9.95404e-15       5.18354e-01       4.03216e-02       5.18354e-01      
 6.30000e-02       1.32083e-11       4.27344e-13       9.20651e-15       1.33414e-14       5.18354e-01       4.03217e-02       5.18354e-01      
 7.20000e-02       1.76974e-11       5.65437e-13       9.17493e-15       1.78803e-14       5.18354e-01       4.03219e-02       5.18354e-01      
 8.10000e-02       2.37092e-11       7.50452e-13       9.14539e-15       2.39614e-14       5.18354e-01       4.03220e-02       5.18354e-01      
 9.00000e-02       3.17587e-11       9.98299e-13       9.11811e-15       3.21077e-14       5.18354e-01       4.03223e-02       5.18354e-01      
 9.90000e-02       4.25337e-11       1.33026e-12       9.09337e-15       4.30186e-14       5.18354e-01       4.03226e-02       5.18354e-01      
 1.08000e-01       5.69530e-11       1.77481e-12       9.07150e-15       5.76296e-14       5.18354e-01       4.03230e-02       5.18354e-01      
 1.17000e-01       7.62424e-11       2.36999e-12       9.05291e-15       7.71913e-14       5.18354e-01       4.03235e-02       5.18354e-01      
 1.26000e-01       1.02036e-10       3.16663e-12       9.03810e-15       1.03374e-13       5.18354e-01       4.03243e-02       5.18354e-01      
 1.35000e-01       1.36512e-10       4.23262e-12       9.02769e-15       1.38408e-13       5.18354e-01       4.03252e-02       5.18354e-01      
 1.44000e-01       1.82566e-10       5.65849e-12       9.02241e-15       1.85268e-13       5.18354e-01       4.03266e-02       5.18354e-01      
 1.53000e-01       2.44045e-10       7.56496e-12       9.02315e-15       2.47920e-13       5.18354e-01       4.03283e-02       5.18354e-01      
 1.62000e-01       3.26031e-10       1.01126e-11       9.03045e-15       3.31639e-13       5.18354e-01       4.03307e-02       5.18354e-01      
 1.71000e-01       4.35276e-10       1.35151e-11       9.04608e-15       4.43436e-13       5.18354e-01       4.03338e-02       5.18354e-01      
 1.80000e-01       5.80688e-10       1.80558e-11       9.07151e-15       5.92619e-13       5.18354e-01       4.03380e-02       5.18354e-01      
 1.89000e-01       7.73991e-10       2.41108e-11       9.10842e-15       7.91521e-13       5.18354e-01       4.03436e-02       5.18354e-01      
 1.98000e-01       1.03057e-09       3.21770e-11       9.15878e-15       1.05644e-12       5.18354e-01       4.03510e-02       5.18354e-01      
 2.07000e-01       1.37055e-09       4.29106e-11       9.22479e-15       1.40887e-12       5.18354e-01       4.03609e-02       5.18354e-01      
 2.16000e-01       1.82011e-09       5.71749e-11       9.30892e-15       1.87707e-12       5.18354e-01       4.03741e-02       5.18354e-01      
 2.25000e-01       2.41317e-09       7.61022e-11       9.41387e-15       2.49803e-12       5.18354e-01       4.03915e-02       5.18354e-01      
 2.34000e-01       3.19337e-09       1.01172e-10       9.54257e-15       3.32001e-12       5.18354e-01       4.04146e-02       5.18354e-01      
