
dc (V)            getData("M0:gm    getData("M0:id    getData("M0:cg    getData("M0:gd    getData("M0:vt    getData("M0:vd    getData("M0:vt

 0.00000e+00       2.65030e-12       1.03082e-13       5.99230e-15       3.88175e-15       5.21931e-01       4.08137e-02       5.21931e-01      
 9.00000e-03       3.54928e-12       1.30783e-13       5.96604e-15       5.19888e-15       5.21931e-01       4.08137e-02       5.21931e-01      
 1.80000e-02       4.75301e-12       1.67881e-13       5.94064e-15       6.96274e-15       5.21931e-01       4.08137e-02       5.21931e-01      
 2.70000e-02       6.36467e-12       2.17558e-13       5.91612e-15       9.32474e-15       5.21931e-01       4.08138e-02       5.21931e-01      
 3.60000e-02       8.52236e-12       2.84078e-13       5.89249e-15       1.24876e-14       5.21931e-01       4.08138e-02       5.21931e-01      
 4.50000e-02       1.14108e-11       3.73147e-13       5.86978e-15       1.67225e-14       5.21931e-01       4.08138e-02       5.21931e-01      
 5.40000e-02       1.52771e-11       4.92398e-13       5.84805e-15       2.23925e-14       5.21931e-01       4.08139e-02       5.21931e-01      
 6.30000e-02       2.04516e-11       6.52048e-13       5.82735e-15       2.99833e-14       5.21931e-01       4.08140e-02       5.21931e-01      
 7.20000e-02       2.73759e-11       8.65761e-13       5.80777e-15       4.01447e-14       5.21931e-01       4.08141e-02       5.21931e-01      
 8.10000e-02       3.66404e-11       1.15182e-12       5.78939e-15       5.37455e-14       5.21931e-01       4.08143e-02       5.21931e-01      
 9.00000e-02       4.90332e-11       1.53465e-12       5.77235e-15       7.19476e-14       5.21931e-01       4.08145e-02       5.21931e-01      
 9.90000e-02       6.56070e-11       2.04692e-12       5.75680e-15       9.63040e-14       5.21931e-01       4.08148e-02       5.21931e-01      
 1.08000e-01       8.77661e-11       2.73228e-12       5.74293e-15       1.28890e-13       5.21931e-01       4.08152e-02       5.21931e-01      
 1.17000e-01       1.17383e-10       3.64902e-12       5.73098e-15       1.72476e-13       5.21931e-01       4.08157e-02       5.21931e-01      
 1.26000e-01       1.56953e-10       4.87495e-12       5.72124e-15       2.30761e-13       5.21931e-01       4.08164e-02       5.21931e-01      
 1.35000e-01       2.09796e-10       6.51388e-12       5.71406e-15       3.08680e-13       5.21931e-01       4.08173e-02       5.21931e-01      
 1.44000e-01       2.80328e-10       8.70420e-12       5.70986e-15       4.12809e-13       5.21931e-01       4.08185e-02       5.21931e-01      
 1.53000e-01       3.74411e-10       1.16303e-11       5.70916e-15       5.51910e-13       5.21931e-01       4.08202e-02       5.21931e-01      
 1.62000e-01       4.99783e-10       1.55372e-11       5.71226e-15       7.37630e-13       5.21931e-01       4.08223e-02       5.21931e-01      
 1.71000e-01       6.66725e-10       2.07507e-11       5.72019e-15       9.85441e-13       5.21931e-01       4.08253e-02       5.21931e-01      
 1.80000e-01       8.88794e-10       2.77032e-11       5.73380e-15       1.31587e-12       5.21931e-01       4.08292e-02       5.21931e-01      
 1.89000e-01       1.18383e-09       3.69674e-11       5.75409e-15       1.75611e-12       5.21931e-01       4.08344e-02       5.21931e-01      
 1.98000e-01       1.57527e-09       4.93007e-11       5.78219e-15       2.34209e-12       5.21931e-01       4.08413e-02       5.21931e-01      
 2.07000e-01       2.09372e-09       6.57023e-11       5.81939e-15       3.12117e-12       5.21931e-01       4.08505e-02       5.21931e-01      
 2.16000e-01       2.77910e-09       8.74873e-11       5.86716e-15       4.15561e-12       5.21931e-01       4.08626e-02       5.21931e-01      
 2.25000e-01       3.68311e-09       1.16381e-10       5.92708e-15       5.52699e-12       5.21931e-01       4.08788e-02       5.21931e-01      
 2.34000e-01       4.87237e-09       1.54637e-10       6.00091e-15       7.34175e-12       5.21931e-01       4.09002e-02       5.21931e-01      
 2.43000e-01       6.43220e-09       2.05193e-10       6.09047e-15       9.73809e-12       5.21931e-01       4.09284e-02       5.21931e-01      
 2.52000e-01       8.47098e-09       2.71851e-10       6.19768e-15       1.28946e-11       5.21931e-01       4.09656e-02       5.21931e-01      
 2.61000e-01       1.11252e-08       3.59513e-10       6.32446e-15       1.70402e-11       5.21931e-01       4.10143e-02       5.21931e-01      
 2.70000e-01       1.45651e-08       4.74457e-10       6.47269e-15       2.24667e-11       5.21931e-01       4.10781e-02       5.21931e-01      
