
dc (V)            getData("M0:gm    getData("M0:id    getData("M0:cg    getData("M0:gd    getData("M0:vt    getData("M0:vd
 4.86000e-01       1.63390e-05       8.67848e-07       2.19287e-15       9.98535e-08       5.77359e-01       6.73038e-02      
 4.95000e-01       1.86221e-05       1.02512e-06       2.25247e-15       1.14747e-07       5.77359e-01       6.98639e-02      
 5.04000e-01       2.11029e-05       1.20383e-06       2.31153e-15       1.30951e-07       5.77359e-01       7.26267e-02      
 5.13000e-01       2.37893e-05       1.40580e-06       2.36976e-15       1.48477e-07       5.77359e-01       7.55889e-02      
 5.22000e-01       2.66904e-05       1.63292e-06       2.42687e-15       1.67334e-07       5.77359e-01       7.87467e-02      
 5.31000e-01       2.98163e-05       1.88716e-06       2.48264e-15       1.87531e-07       5.77359e-01       8.20965e-02      
 5.40000e-01       3.31773e-05       2.17059e-06       2.53685e-15       2.09080e-07       5.77359e-01       8.56345e-02      
 5.49000e-01       3.67834e-05       2.48538e-06       2.58934e-15       2.31996e-07       5.77359e-01       8.93574e-02      
 5.58000e-01       4.06440e-05       2.83378e-06       2.63995e-15       2.56294e-07       5.77359e-01       9.32618e-02      
 5.67000e-01       4.47668e-05       3.21810e-06       2.68859e-15       2.81988e-07       5.77359e-01       9.73445e-02      
 5.76000e-01       4.91575e-05       3.64074e-06       2.73518e-15       3.09097e-07       5.77359e-01       1.01602e-01      
 5.85000e-01       5.38191e-05       4.10413e-06       2.77966e-15       3.37634e-07       5.77359e-01       1.06031e-01      
 5.94000e-01       5.87518e-05       4.61070e-06       2.82201e-15       3.67612e-07       5.77359e-01       1.10628e-01      
 6.03000e-01       6.39529e-05       5.16289e-06       2.86223e-15       3.99042e-07       5.77359e-01       1.15388e-01      
 6.12000e-01       6.94163e-05       5.76308e-06       2.90035e-15       4.31929e-07       5.77359e-01       1.20307e-01      
 6.21000e-01       7.51330e-05       6.41360e-06       2.93640e-15       4.66277e-07       5.77359e-01       1.25378e-01      
 6.30000e-01       8.10911e-05       7.11667e-06       2.97042e-15       5.02084e-07       5.77359e-01       1.30598e-01      
 6.39000e-01       8.72760e-05       7.87440e-06       3.00249e-15       5.39343e-07       5.77359e-01       1.35958e-01      
 6.48000e-01       9.36711e-05       8.68876e-06       3.03267e-15       5.78044e-07       5.77359e-01       1.41453e-01      
 6.57000e-01       1.00258e-04       9.56155e-06       3.06104e-15       6.18171e-07       5.77359e-01       1.47074e-01      
