
dc (V)            getData("M0:gm    getData("M0:id    getData("M0:cg    getData("M0:gd    getData("M0:vt    getData("M0:vd

 0.00000e+00       1.72748e-11       5.78015e-13       3.86133e-16       7.98522e-14       5.45077e-01       4.93151e-02      
 9.00000e-03       2.28832e-11       7.56501e-13       3.85269e-16       1.05785e-13       5.45077e-01       4.93152e-02      
 1.80000e-02       3.03116e-11       9.93437e-13       3.84427e-16       1.40136e-13       5.45077e-01       4.93152e-02      
 2.70000e-02       4.01497e-11       1.30773e-12       3.83608e-16       1.85637e-13       5.45077e-01       4.93152e-02      
 3.60000e-02       5.31786e-11       1.72443e-12       3.82811e-16       2.45904e-13       5.45077e-01       4.93152e-02      
 4.50000e-02       7.04318e-11       2.27670e-12       3.82037e-16       3.25725e-13       5.45077e-01       4.93153e-02      
 5.40000e-02       9.32771e-11       3.00845e-12       3.81287e-16       4.31438e-13       5.45077e-01       4.93153e-02      
 6.30000e-02       1.23524e-10       3.97780e-12       3.80563e-16       5.71434e-13       5.45077e-01       4.93154e-02      
 7.20000e-02       1.63565e-10       5.26167e-12       3.79866e-16       7.56816e-13       5.45077e-01       4.93155e-02      
 8.10000e-02       2.16567e-10       6.96187e-12       3.79199e-16       1.00227e-12       5.45077e-01       4.93157e-02      
 9.00000e-02       2.86711e-10       9.21306e-12       3.78564e-16       1.32724e-12       5.45077e-01       4.93159e-02      
 9.90000e-02       3.79526e-10       1.21934e-11       3.77968e-16       1.75743e-12       5.45077e-01       4.93161e-02      
 1.08000e-01       5.02313e-10       1.61384e-11       3.77413e-16       2.32681e-12       5.45077e-01       4.93165e-02      
 1.17000e-01       6.64710e-10       2.13593e-11       3.76907e-16       3.08031e-12       5.45077e-01       4.93169e-02      
 1.26000e-01       8.79432e-10       2.82676e-11       3.76458e-16       4.07725e-12       5.45077e-01       4.93175e-02      
 1.35000e-01       1.16324e-09       3.74065e-11       3.76074e-16       5.39601e-12       5.45077e-01       4.93182e-02      
 1.44000e-01       1.53817e-09       4.94930e-11       3.75761e-16       7.13997e-12       5.45077e-01       4.93193e-02      
 1.53000e-01       2.03319e-09       6.54720e-11       3.75533e-16       9.44538e-12       5.45077e-01       4.93206e-02      
 1.62000e-01       2.68648e-09       8.65894e-11       3.75412e-16       1.24918e-11       5.45077e-01       4.93224e-02      
 1.71000e-01       3.54804e-09       1.14486e-10       3.75418e-16       1.65156e-11       5.45077e-01       4.93247e-02      
 1.80000e-01       4.68343e-09       1.51318e-10       3.75574e-16       2.18275e-11       5.45077e-01       4.93278e-02      
 1.89000e-01       6.17833e-09       1.99922e-10       3.75907e-16       2.88357e-11       5.45077e-01       4.93319e-02      
 1.98000e-01       8.14453e-09       2.64016e-10       3.76448e-16       3.80751e-11       5.45077e-01       4.93373e-02      
 2.07000e-01       1.07275e-08       3.48472e-10       3.77232e-16       5.02459e-11       5.45077e-01       4.93444e-02      
 2.16000e-01       1.41159e-08       4.59657e-10       3.78301e-16       6.62626e-11       5.45077e-01       4.93538e-02      
 2.25000e-01       1.85536e-08       6.05876e-10       3.79701e-16       8.73163e-11       5.45077e-01       4.93661e-02      
