
dc (V)            getData("M0:gm    getData("M0:id    getData("M0:cg    getData("M0:gd    getData("M0:vt    getData("M0:vd

 0.00000e+00       2.97117e-11       1.09165e-12       2.06426e-15       1.37252e-13       5.82962e-01       4.96617e-02      
 9.00000e-03       3.92561e-11       1.39406e-12       2.05906e-15       1.81349e-13       5.82962e-01       4.96617e-02      
 1.80000e-02       5.18655e-11       1.79625e-12       2.05398e-15       2.39611e-13       5.82962e-01       4.96617e-02      
 2.70000e-02       6.85236e-11       2.32999e-12       2.04901e-15       3.16586e-13       5.82962e-01       4.96617e-02      
 3.60000e-02       9.05296e-11       3.03727e-12       2.04416e-15       4.18282e-13       5.82962e-01       4.96617e-02      
 4.50000e-02       1.19599e-10       3.97358e-12       2.03943e-15       5.52634e-13       5.82962e-01       4.96617e-02      
 5.40000e-02       1.57998e-10       5.21220e-12       2.03481e-15       7.30123e-13       5.82962e-01       4.96618e-02      
 6.30000e-02       2.08718e-10       6.84997e-12       2.03030e-15       9.64591e-13       5.82962e-01       4.96618e-02      
 7.20000e-02       2.75706e-10       9.01475e-12       2.02591e-15       1.27432e-12       5.82962e-01       4.96618e-02      
 8.10000e-02       3.64176e-10       1.18754e-11       2.02164e-15       1.68343e-12       5.82962e-01       4.96619e-02      
 9.00000e-02       4.81007e-10       1.56550e-11       2.01751e-15       2.22380e-12       5.82962e-01       4.96619e-02      
 9.90000e-02       6.35274e-10       2.06478e-11       2.01350e-15       2.93749e-12       5.82962e-01       4.96620e-02      
 1.08000e-01       8.38951e-10       2.72424e-11       2.00965e-15       3.88002e-12       5.82962e-01       4.96621e-02      
 1.17000e-01       1.10783e-09       3.59516e-11       2.00596e-15       5.12464e-12       5.82962e-01       4.96623e-02      
 1.26000e-01       1.46272e-09       4.74521e-11       2.00245e-15       6.76802e-12       5.82962e-01       4.96625e-02      
 1.35000e-01       1.93106e-09       6.26363e-11       1.99914e-15       8.93764e-12       5.82962e-01       4.96627e-02      
 1.44000e-01       2.54899e-09       8.26812e-11       1.99606e-15       1.18016e-11       5.82962e-01       4.96631e-02      
 1.53000e-01       3.36410e-09       1.09139e-10       1.99325e-15       1.55816e-11       5.82962e-01       4.96635e-02      
 1.62000e-01       4.43898e-09       1.44053e-10       1.99074e-15       2.05695e-11       5.82962e-01       4.96641e-02      
 1.71000e-01       5.85598e-09       1.90119e-10       1.98859e-15       2.71499e-11       5.82962e-01       4.96649e-02      
 1.80000e-01       7.72308e-09       2.50881e-10       1.98683e-15       3.58290e-11       5.82962e-01       4.96659e-02      
 1.89000e-01       1.01818e-08       3.31001e-10       1.98551e-15       4.72719e-11       5.82962e-01       4.96672e-02      
 1.98000e-01       1.34182e-08       4.36608e-10       1.98476e-15       6.23531e-11       5.82962e-01       4.96690e-02      
 2.07000e-01       1.76756e-08       5.75752e-10       1.98469e-15       8.22207e-11       5.82962e-01       4.96713e-02      
 2.16000e-01       2.32719e-08       7.58997e-10       1.98542e-15       1.08380e-10       5.82962e-01       4.96744e-02      
 2.25000e-01       3.06220e-08       1.00019e-09       1.98707e-15       1.42805e-10       5.82962e-01       4.96784e-02      
 2.34000e-01       4.02660e-08       1.31744e-09       1.98983e-15       1.88073e-10       5.82962e-01       4.96837e-02      
 2.43000e-01       5.29051e-08       1.73445e-09       1.99386e-15       2.47555e-10       5.82962e-01       4.96907e-02      
 2.52000e-01       6.94474e-08       2.28208e-09       1.99938e-15       3.25637e-10       5.82962e-01       4.96998e-02      
 2.61000e-01       9.10646e-08       3.00056e-09       2.00663e-15       4.28026e-10       5.82962e-01       4.97118e-02      
 2.70000e-01       1.19263e-07       3.94209e-09       2.01587e-15       5.62115e-10       5.82962e-01       4.97276e-02      
 2.79000e-01       1.55968e-07       5.17426e-09       2.02738e-15       7.37455e-10       5.82962e-01       4.97481e-02      
 2.88000e-01       2.03634e-07       6.78429e-09       2.04147e-15       9.66339e-10       5.82962e-01       4.97750e-02      
 2.97000e-01       2.65361e-07       8.88433e-09       2.05847e-15       1.26451e-09       5.82962e-01       4.98100e-02      
 3.06000e-01       3.45045e-07       1.16179e-08       2.07869e-15       1.65202e-09       5.82962e-01       4.98555e-02      
 3.15000e-01       4.47536e-07       1.51678e-08       2.10247e-15       2.15428e-09       5.82962e-01       4.99145e-02      
 3.24000e-01       5.78823e-07       1.97654e-08       2.13013e-15       2.80319e-09       5.82962e-01       4.99907e-02      
