
dc (V)            getData("M0:gm    getData("M0:id    getData("M0:cg    getData("M0:gd    getData("M0:vt    getData("M0:vd

 0.00000e+00       2.76078e-11       1.00216e-12       1.69116e-15       1.28609e-13       5.80776e-01       4.96358e-02      
 9.00000e-03       3.64518e-11       1.28372e-12       1.68693e-15       1.69815e-13       5.80776e-01       4.96358e-02      
 1.80000e-02       4.81278e-11       1.65765e-12       1.68280e-15       2.24221e-13       5.80776e-01       4.96358e-02      
 2.70000e-02       6.35423e-11       2.15328e-12       1.67876e-15       2.96052e-13       5.80776e-01       4.96358e-02      
 3.60000e-02       8.38917e-11       2.80938e-12       1.67482e-15       3.90888e-13       5.80776e-01       4.96359e-02      
 4.50000e-02       1.10754e-10       3.67714e-12       1.67097e-15       5.16092e-13       5.80776e-01       4.96359e-02      
 5.40000e-02       1.46214e-10       4.82411e-12       1.66721e-15       6.81383e-13       5.80776e-01       4.96359e-02      
 6.30000e-02       1.93018e-10       6.33950e-12       1.66355e-15       8.99587e-13       5.80776e-01       4.96359e-02      
 7.20000e-02       2.54792e-10       8.34101e-12       1.65999e-15       1.18763e-12       5.80776e-01       4.96360e-02      
 8.10000e-02       3.36319e-10       1.09840e-11       1.65652e-15       1.56784e-12       5.80776e-01       4.96360e-02      
 9.00000e-02       4.43904e-10       1.44734e-11       1.65317e-15       2.06969e-12       5.80776e-01       4.96361e-02      
 9.90000e-02       5.85862e-10       1.90795e-11       1.64993e-15       2.73204e-12       5.80776e-01       4.96362e-02      
 1.08000e-01       7.73153e-10       2.51592e-11       1.64681e-15       3.60615e-12       5.80776e-01       4.96363e-02      
 1.17000e-01       1.02022e-09       3.31825e-11       1.64383e-15       4.75962e-12       5.80776e-01       4.96365e-02      
 1.26000e-01       1.34608e-09       4.37696e-11       1.64101e-15       6.28154e-12       5.80776e-01       4.96367e-02      
 1.35000e-01       1.77579e-09       5.77378e-11       1.63835e-15       8.28937e-12       5.80776e-01       4.96370e-02      
 1.44000e-01       2.34232e-09       7.61640e-11       1.63590e-15       1.09378e-11       5.80776e-01       4.96374e-02      
 1.53000e-01       3.08903e-09       1.00467e-10       1.63367e-15       1.44308e-11       5.80776e-01       4.96379e-02      
 1.62000e-01       4.07295e-09       1.32514e-10       1.63170e-15       1.90365e-11       5.80776e-01       4.96385e-02      
 1.71000e-01       5.36896e-09       1.74764e-10       1.63004e-15       2.51080e-11       5.80776e-01       4.96394e-02      
 1.80000e-01       7.07509e-09       2.30450e-10       1.62870e-15       3.31095e-11       5.80776e-01       4.96405e-02      
 1.89000e-01       9.31995e-09       3.03816e-10       1.62776e-15       4.36506e-11       5.80776e-01       4.96420e-02      
 1.98000e-01       1.22722e-08       4.00442e-10       1.62731e-15       5.75316e-11       5.80776e-01       4.96440e-02      
 2.07000e-01       1.61520e-08       5.27645e-10       1.62744e-15       7.58024e-11       5.80776e-01       4.96466e-02      
 2.16000e-01       2.12470e-08       6.95018e-10       1.62825e-15       9.98384e-11       5.80776e-01       4.96500e-02      
 2.25000e-01       2.79318e-08       9.15117e-10       1.62987e-15       1.31439e-10       5.80776e-01       4.96545e-02      
 2.34000e-01       3.66930e-08       1.20436e-09       1.63242e-15       1.72954e-10       5.80776e-01       4.96604e-02      
 2.43000e-01       4.81617e-08       1.58416e-09       1.63607e-15       2.27448e-10       5.80776e-01       4.96682e-02      
 2.52000e-01       6.31533e-08       2.08242e-09       1.64100e-15       2.98908e-10       5.80776e-01       4.96783e-02      
 2.61000e-01       8.27177e-08       2.73540e-09       1.64740e-15       3.92505e-10       5.80776e-01       4.96917e-02      
 2.70000e-01       1.08201e-07       3.59009e-09       1.65549e-15       5.14932e-10       5.80776e-01       4.97091e-02      
 2.79000e-01       1.41321e-07       4.70724e-09       1.66551e-15       6.74814e-10       5.80776e-01       4.97318e-02      
 2.88000e-01       1.84257e-07       6.16504e-09       1.67772e-15       8.83228e-10       5.80776e-01       4.97615e-02      
 2.97000e-01       2.39757e-07       8.06380e-09       1.69237e-15       1.15432e-09       5.80776e-01       4.98002e-02      
 3.06000e-01       3.11257e-07       1.05316e-08       1.70974e-15       1.50606e-09       5.80776e-01       4.98503e-02      
 3.15000e-01       4.03021e-07       1.37310e-08       1.73010e-15       1.96114e-09       5.80776e-01       4.99151e-02      
 3.24000e-01       5.20288e-07       1.78674e-08       1.75369e-15       2.54794e-09       5.80776e-01       4.99988e-02      
 3.33000e-01       6.69416e-07       2.31982e-08       1.78075e-15       3.30171e-09       5.80776e-01       5.01063e-02      
 3.42000e-01       8.58037e-07       3.00436e-08       1.81150e-15       4.26572e-09       5.80776e-01       5.02438e-02      
 3.51000e-01       1.09517e-06       3.87989e-08       1.84609e-15       5.49248e-09       5.80776e-01       5.04188e-02      
 3.60000e-01       1.39131e-06       4.99471e-08       1.88467e-15       7.04482e-09       5.80776e-01       5.06402e-02      
 3.69000e-01       1.75847e-06       6.40727e-08       1.92730e-15       8.99670e-09       5.80776e-01       5.09185e-02      
 3.78000e-01       2.21008e-06       8.18745e-08       1.97400e-15       1.14337e-08       5.80776e-01       5.12659e-02      
 3.87000e-01       2.76090e-06       1.04179e-07       2.02473e-15       1.44526e-08       5.80776e-01       5.16960e-02      
 3.96000e-01       3.42671e-06       1.31949e-07       2.07938e-15       1.81606e-08       5.80776e-01       5.22237e-02      
 4.05000e-01       4.22394e-06       1.66296e-07       2.13780e-15       2.26732e-08       5.80776e-01       5.28652e-02      
 4.14000e-01       5.16922e-06       2.08476e-07       2.19975e-15       2.81111e-08       5.80776e-01       5.36368e-02      
 4.23000e-01       6.27880e-06       2.59897e-07       2.26495e-15       3.45965e-08       5.80776e-01       5.45550e-02      
 4.32000e-01       7.56798e-06       3.22108e-07       2.33309e-15       4.22486e-08       5.80776e-01       5.56354e-02      
 4.41000e-01       9.05064e-06       3.96790e-07       2.40377e-15       5.11792e-08       5.80776e-01       5.68922e-02      
 4.50000e-01       1.07389e-05       4.85741e-07       2.47659e-15       6.14882e-08       5.80776e-01       5.83374e-02      
 4.59000e-01       1.26428e-05       5.90860e-07       2.55111e-15       7.32611e-08       5.80776e-01       5.99803e-02      
 4.68000e-01       1.47710e-05       7.14128e-07       2.62688e-15       8.65668e-08       5.80776e-01       6.18276e-02      
 4.77000e-01       1.71307e-05       8.57597e-07       2.70344e-15       1.01458e-07       5.80776e-01       6.38832e-02      
 4.86000e-01       1.97283e-05       1.02338e-06       2.78032e-15       1.17973e-07       5.80776e-01       6.61484e-02      
 4.95000e-01       2.25709e-05       1.21365e-06       2.85708e-15       1.36136e-07       5.80776e-01       6.86226e-02      
 5.04000e-01       2.56662e-05       1.43065e-06       2.93330e-15       1.55966e-07       5.80776e-01       7.13035e-02      
 5.13000e-01       2.90231e-05       1.67669e-06       3.00858e-15       1.77473e-07       5.80776e-01       7.41878e-02      
 5.22000e-01       3.26525e-05       1.95417e-06       3.08255e-15       2.00666e-07       5.80776e-01       7.72717e-02      
 5.31000e-01       3.65662e-05       2.26560e-06       3.15489e-15       2.25556e-07       5.80776e-01       8.05511e-02      
 5.40000e-01       4.07770e-05       2.61360e-06       3.22532e-15       2.52154e-07       5.80776e-01       8.40221e-02      
 5.49000e-01       4.52979e-05       3.00089e-06       3.29358e-15       2.80473e-07       5.80776e-01       8.76808e-02      
 5.58000e-01       5.01412e-05       3.43033e-06       3.35950e-15       3.10529e-07       5.80776e-01       9.15237e-02      
 5.67000e-01       5.53174e-05       3.90486e-06       3.42291e-15       3.42340e-07       5.80776e-01       9.55473e-02      
 5.76000e-01       6.08350e-05       4.42752e-06       3.48370e-15       3.75924e-07       5.80776e-01       9.97480e-02      
 5.85000e-01       6.66991e-05       5.00141e-06       3.54179e-15       4.11298e-07       5.80776e-01       1.04122e-01      
 5.94000e-01       7.29116e-05       5.62966e-06       3.59714e-15       4.48477e-07       5.80776e-01       1.08666e-01      
 6.03000e-01       7.94703e-05       6.31539e-06       3.64975e-15       4.87475e-07       5.80776e-01       1.13375e-01      
 6.12000e-01       8.63689e-05       7.06170e-06       3.69962e-15       5.28298e-07       5.80776e-01       1.18246e-01      
 6.21000e-01       9.35972e-05       7.87159e-06       3.74681e-15       5.70952e-07       5.80776e-01       1.23271e-01      
 6.30000e-01       1.01141e-04       8.74799e-06       3.79137e-15       6.15433e-07       5.80776e-01       1.28447e-01      
 6.39000e-01       1.08983e-04       9.69364e-06       3.83337e-15       6.61734e-07       5.80776e-01       1.33766e-01      
 6.48000e-01       1.17102e-04       1.07111e-05       3.87292e-15       7.09842e-07       5.80776e-01       1.39222e-01      
 6.57000e-01       1.25476e-04       1.18029e-05       3.91009e-15       7.59739e-07       5.80776e-01       1.44808e-01      
 6.66000e-01       1.34078e-04       1.29710e-05       3.94501e-15       8.11401e-07       5.80776e-01       1.50516e-01      
 6.75000e-01       1.42882e-04       1.42175e-05       3.97777e-15       8.64798e-07       5.80776e-01       1.56339e-01      
 6.84000e-01       1.51860e-04       1.55441e-05       4.00849e-15       9.19899e-07       5.80776e-01       1.62268e-01      
 6.93000e-01       1.60984e-04       1.69521e-05       4.03729e-15       9.76667e-07       5.80776e-01       1.68295e-01      
 7.02000e-01       1.70227e-04       1.84428e-05       4.06427e-15       1.03506e-06       5.80776e-01       1.74413e-01      
 7.11000e-01       1.79559e-04       2.00171e-05       4.08955e-15       1.09504e-06       5.80776e-01       1.80613e-01      
 7.20000e-01       1.88956e-04       2.16757e-05       4.11322e-15       1.15657e-06       5.80776e-01       1.86887e-01      
 7.29000e-01       1.98391e-04       2.34190e-05       4.13540e-15       1.21959e-06       5.80776e-01       1.93228e-01      
 7.38000e-01       2.07841e-04       2.52474e-05       4.15619e-15       1.28406e-06       5.80776e-01       1.99628e-01      
 7.47000e-01       2.17284e-04       2.71607e-05       4.17567e-15       1.34994e-06       5.80776e-01       2.06080e-01      
 7.56000e-01       2.26698e-04       2.91589e-05       4.19395e-15       1.41719e-06       5.80776e-01       2.12577e-01      
 7.65000e-01       2.36067e-04       3.12417e-05       4.21109e-15       1.48575e-06       5.80776e-01       2.19113e-01      
 7.74000e-01       2.45373e-04       3.34085e-05       4.22719e-15       1.55559e-06       5.80776e-01       2.25681e-01      
 7.83000e-01       2.54601e-04       3.56586e-05       4.24231e-15       1.62666e-06       5.80776e-01       2.32276e-01      
 7.92000e-01       2.63737e-04       3.79915e-05       4.25654e-15       1.69892e-06       5.80776e-01       2.38893e-01      
 8.01000e-01       2.72772e-04       4.04060e-05       4.26993e-15       1.77233e-06       5.80776e-01       2.45526e-01      
 8.10000e-01       2.81693e-04       4.29014e-05       4.28254e-15       1.84686e-06       5.80776e-01       2.52171e-01      
 8.19000e-01       2.90494e-04       4.54765e-05       4.29444e-15       1.92247e-06       5.80776e-01       2.58825e-01      
 8.28000e-01       2.99168e-04       4.81302e-05       4.30567e-15       1.99912e-06       5.80776e-01       2.65482e-01      
 8.37000e-01       3.07707e-04       5.08614e-05       4.31629e-15       2.07679e-06       5.80776e-01       2.72139e-01      
 8.46000e-01       3.16109e-04       5.36688e-05       4.32634e-15       2.15544e-06       5.80776e-01       2.78794e-01      
 8.55000e-01       3.24368e-04       5.65511e-05       4.33586e-15       2.23505e-06       5.80776e-01       2.85443e-01      
 8.64000e-01       3.32482e-04       5.95072e-05       4.34490e-15       2.31559e-06       5.80776e-01       2.92085e-01      
 8.73000e-01       3.40450e-04       6.25355e-05       4.35348e-15       2.39703e-06       5.80776e-01       2.98715e-01      
 8.82000e-01       3.48269e-04       6.56349e-05       4.36164e-15       2.47935e-06       5.80776e-01       3.05333e-01      
 8.91000e-01       3.55939e-04       6.88040e-05       4.36941e-15       2.56252e-06       5.80776e-01       3.11937e-01      
 9.00000e-01       3.63459e-04       7.20414e-05       4.37682e-15       2.64654e-06       5.80776e-01       3.18525e-01      
 9.09000e-01       3.70831e-04       7.53459e-05       4.38390e-15       2.73138e-06       5.80776e-01       3.25096e-01      
 9.18000e-01       3.78054e-04       7.87159e-05       4.39067e-15       2.81702e-06       5.80776e-01       3.31648e-01      
 9.27000e-01       3.85129e-04       8.21503e-05       4.39714e-15       2.90344e-06       5.80776e-01       3.38180e-01      
 9.36000e-01       3.92057e-04       8.56478e-05       4.40335e-15       2.99064e-06       5.80776e-01       3.44692e-01      
 9.45000e-01       3.98840e-04       8.92069e-05       4.40932e-15       3.07860e-06       5.80776e-01       3.51182e-01      
 9.54000e-01       4.05479e-04       9.28263e-05       4.41505e-15       3.16730e-06       5.80776e-01       3.57650e-01      
 9.63000e-01       4.11976e-04       9.65049e-05       4.42056e-15       3.25674e-06       5.80776e-01       3.64096e-01      
 9.72000e-01       4.18332e-04       1.00241e-04       4.42587e-15       3.34690e-06       5.80776e-01       3.70519e-01      
 9.81000e-01       4.24550e-04       1.04034e-04       4.43100e-15       3.43778e-06       5.80776e-01       3.76919e-01      
 9.90000e-01       4.30630e-04       1.07883e-04       4.43595e-15       3.52937e-06       5.80776e-01       3.83295e-01      
 9.99000e-01       4.36576e-04       1.11785e-04       4.44073e-15       3.62166e-06       5.80776e-01       3.89647e-01      
 1.00800e+00       4.42389e-04       1.15740e-04       4.44537e-15       3.71464e-06       5.80776e-01       3.95976e-01      
 1.01700e+00       4.48070e-04       1.19747e-04       4.44986e-15       3.80831e-06       5.80776e-01       4.02280e-01      
 1.02600e+00       4.53622e-04       1.23805e-04       4.45421e-15       3.90266e-06       5.80776e-01       4.08561e-01      
 1.03500e+00       4.59047e-04       1.27912e-04       4.45845e-15       3.99769e-06       5.80776e-01       4.14819e-01      
 1.04400e+00       4.64347e-04       1.32067e-04       4.46256e-15       4.09339e-06       5.80776e-01       4.21052e-01      
 1.05300e+00       4.69523e-04       1.36270e-04       4.46656e-15       4.18977e-06       5.80776e-01       4.27263e-01      
 1.06200e+00       4.74577e-04       1.40518e-04       4.47046e-15       4.28681e-06       5.80776e-01       4.33450e-01      
 1.07100e+00       4.79512e-04       1.44811e-04       4.47427e-15       4.38452e-06       5.80776e-01       4.39613e-01      
 1.08000e+00       4.84328e-04       1.49148e-04       4.47798e-15       4.48290e-06       5.80776e-01       4.45755e-01      
 1.08900e+00       4.89029e-04       1.53528e-04       4.48160e-15       4.58194e-06       5.80776e-01       4.51873e-01      
