
dc (V)            getData("M0:gm    getData("M0:id    getData("M0:cg    getData("M0:gd    getData("M0:vt    getData("M0:vd

 0.00000e+00       1.92384e-11       6.50775e-13       4.79457e-16       9.26474e-14       5.54661e-01       4.82660e-02      
 9.00000e-03       2.54387e-11       8.49217e-13       4.78355e-16       1.22515e-13       5.54661e-01       4.82660e-02      
 1.80000e-02       3.36363e-11       1.11223e-12       4.77282e-16       1.62007e-13       5.54661e-01       4.82660e-02      
 2.70000e-02       4.44739e-11       1.46056e-12       4.76236e-16       2.14225e-13       5.54661e-01       4.82660e-02      
 3.60000e-02       5.88009e-11       1.92160e-12       4.75218e-16       2.83265e-13       5.54661e-01       4.82661e-02      
 4.50000e-02       7.77396e-11       2.53159e-12       4.74228e-16       3.74543e-13       5.54661e-01       4.82661e-02      
 5.40000e-02       1.02772e-10       3.33843e-12       4.73267e-16       4.95215e-13       5.54661e-01       4.82662e-02      
 6.30000e-02       1.35857e-10       4.40538e-12       4.72337e-16       6.54737e-13       5.54661e-01       4.82662e-02      
 7.20000e-02       1.79579e-10       5.81607e-12       4.71439e-16       8.65601e-13       5.54661e-01       4.82663e-02      
 8.10000e-02       2.37351e-10       7.68095e-12       4.70576e-16       1.14431e-12       5.54661e-01       4.82665e-02      
 9.00000e-02       3.13676e-10       1.01459e-11       4.69751e-16       1.51265e-12       5.54661e-01       4.82666e-02      
 9.90000e-02       4.14498e-10       1.34035e-11       4.68970e-16       1.99940e-12       5.54661e-01       4.82668e-02      
 1.08000e-01       5.47649e-10       1.77080e-11       4.68236e-16       2.64254e-12       5.54661e-01       4.82671e-02      
 1.17000e-01       7.23458e-10       2.33951e-11       4.67556e-16       3.49217e-12       5.54661e-01       4.82675e-02      
 1.26000e-01       9.55526e-10       3.09072e-11       4.66940e-16       4.61440e-12       5.54661e-01       4.82680e-02      
 1.35000e-01       1.26176e-09       4.08281e-11       4.66396e-16       6.09637e-12       5.54661e-01       4.82686e-02      
 1.44000e-01       1.66572e-09       5.39269e-11       4.65937e-16       8.05292e-12       5.54661e-01       4.82695e-02      
 1.53000e-01       2.19828e-09       7.12166e-11       4.65569e-16       1.06352e-11       5.54661e-01       4.82706e-02      
 1.62000e-01       2.89996e-09       9.40295e-11       4.65310e-16       1.40421e-11       5.54661e-01       4.82721e-02      
 1.71000e-01       3.82401e-09       1.24118e-10       4.65189e-16       1.85350e-11       5.54661e-01       4.82741e-02      
 1.80000e-01       5.04001e-09       1.63784e-10       4.65230e-16       2.44571e-11       5.54661e-01       4.82768e-02      
 1.89000e-01       6.63888e-09       2.16047e-10       4.65461e-16       3.22588e-11       5.54661e-01       4.82802e-02      
 1.98000e-01       8.73915e-09       2.84868e-10       4.65918e-16       4.25297e-11       5.54661e-01       4.82847e-02      
 2.07000e-01       1.14950e-08       3.75425e-10       4.66639e-16       5.60408e-11       5.54661e-01       4.82907e-02      
 2.16000e-01       1.51062e-08       4.94483e-10       4.67668e-16       7.37984e-11       5.54661e-01       4.82986e-02      
