
dc (V)            getData("M0:gm    getData("M0:id    getData("M0:cg    getData("M0:gd    getData("M0:vt    getData("M0:vd    getData("M0:vt

 0.00000e+00       1.61638e-05      -1.24766e-05       2.44648e-14       1.20769e-07      -4.42515e-01      -1.24830e+00      -4.42515e-01      
 9.00000e-02       1.54383e-05      -1.10542e-05       2.44447e-14       1.01850e-07      -4.42515e-01      -1.15594e+00      -4.42515e-01      
 1.80000e-01       1.46738e-05      -9.69887e-06       2.44190e-14       8.63204e-08      -4.42515e-01      -1.06557e+00      -4.42515e-01      
 2.70000e-01       1.38691e-05      -8.41414e-06       2.43870e-14       7.30343e-08      -4.42515e-01      -9.77142e-01      -4.42515e-01      
 3.60000e-01       1.30224e-05      -7.20370e-06       2.43470e-14       6.14131e-08      -4.42515e-01      -8.90572e-01      -4.42515e-01      
 4.50000e-01       1.21316e-05      -6.07143e-06       2.42967e-14       5.11377e-08      -4.42515e-01      -8.05800e-01      -4.42515e-01      
 5.40000e-01       1.11947e-05      -5.02139e-06       2.42329e-14       4.20175e-08      -4.42515e-01      -7.22765e-01      -4.42515e-01      
 6.30000e-01       1.02095e-05      -4.05784e-06       2.41511e-14       3.39303e-08      -4.42515e-01      -6.41409e-01      -4.42515e-01      
 7.20000e-01       9.17405e-06      -3.18519e-06       2.40450e-14       2.67939e-08      -4.42515e-01      -5.61680e-01      -4.42515e-01      
 8.10000e-01       8.08565e-06      -2.40810e-06       2.39042e-14       2.05504e-08      -4.42515e-01      -4.83542e-01      -4.42515e-01      
 9.00000e-01       6.94058e-06      -1.73148e-06       2.37093e-14       1.51589e-08      -4.42515e-01      -4.06993e-01      -4.42515e-01      
 9.90000e-01       5.73307e-06      -1.16067e-06       2.34189e-14       1.05924e-08      -4.42515e-01      -3.32126e-01      -4.42515e-01      
 1.08000e+00       4.45614e-06      -7.01621e-07       2.29301e-14       6.83791e-09      -4.42515e-01      -2.59294e-01      -4.42515e-01      
 1.17000e+00       3.11314e-06      -3.60603e-07       2.19680e-14       3.90051e-09      -4.42515e-01      -1.89565e-01      -4.42515e-01      
 1.26000e+00       1.76983e-06      -1.41443e-07       1.98479e-14       1.80564e-09      -4.42515e-01      -1.25831e-01      -4.42515e-01      
 1.35000e+00       6.61845e-07      -3.51515e-08       1.55295e-14       5.72970e-10      -4.42515e-01      -7.48682e-02      -4.42515e-01      
 1.44000e+00       1.19736e-07      -4.73010e-09       9.87004e-15       9.77643e-11      -4.42515e-01      -4.72069e-02      -4.42515e-01      
 1.53000e+00       1.16924e-08      -4.01124e-10       6.54799e-15       9.03011e-12      -4.42515e-01      -4.05862e-02      -4.42515e-01      
 1.62000e+00       8.16279e-10      -2.72160e-11       5.75361e-15       6.02616e-13      -4.42515e-01      -3.99150e-02      -4.42515e-01      
 1.71000e+00       4.96561e-11      -3.04734e-12       5.74616e-15       3.61163e-14      -4.42515e-01      -3.98698e-02      -4.42515e-01      
 1.80000e+00       2.90723e-12      -2.59913e-12       5.93490e-15       2.10781e-15      -4.42515e-01      -3.98671e-02      -4.42515e-01      
