
dc (V)            getData("M0:gm    getData("M0:id    getData("M0:cg    getData("M0:gd    getData("M0:vt    getData("M0:vd    getData("M0:vt

 0.00000e+00       2.30823e-05      -1.78889e-05       1.70806e-14       2.36918e-07      -4.44071e-01      -1.24743e+00      -4.44071e-01      
 9.00000e-02       2.20657e-05      -1.58568e-05       1.70651e-14       2.01511e-07      -4.44071e-01      -1.15520e+00      -4.44071e-01      
 1.80000e-01       2.09913e-05      -1.39188e-05       1.70457e-14       1.71631e-07      -4.44071e-01      -1.06496e+00      -4.44071e-01      
 2.70000e-01       1.98571e-05      -1.20801e-05       1.70220e-14       1.45621e-07      -4.44071e-01      -9.76631e-01      -4.44071e-01      
 3.60000e-01       1.86605e-05      -1.03464e-05       1.69930e-14       1.22624e-07      -4.44071e-01      -8.90148e-01      -4.44071e-01      
 4.50000e-01       1.73982e-05      -8.72321e-06       1.69570e-14       1.02153e-07      -4.44071e-01      -8.05443e-01      -4.44071e-01      
 5.40000e-01       1.60673e-05      -7.21673e-06       1.69118e-14       8.39098e-08      -4.44071e-01      -7.22454e-01      -4.44071e-01      
 6.30000e-01       1.46644e-05      -5.83326e-06       1.68542e-14       6.76957e-08      -4.44071e-01      -6.41122e-01      -4.44071e-01      
 7.20000e-01       1.31863e-05      -4.57940e-06       1.67797e-14       5.33732e-08      -4.44071e-01      -5.61396e-01      -4.44071e-01      
 8.10000e-01       1.16290e-05      -3.46211e-06       1.66810e-14       4.08433e-08      -4.44071e-01      -4.83236e-01      -4.44071e-01      
 9.00000e-01       9.98682e-06      -2.48874e-06       1.65444e-14       3.00352e-08      -4.44071e-01      -4.06641e-01      -4.44071e-01      
 9.90000e-01       8.25107e-06      -1.66729e-06       1.63405e-14       2.09015e-08      -4.44071e-01      -3.31709e-01      -4.44071e-01      
 1.08000e+00       6.41154e-06      -1.00667e-06       1.59962e-14       1.34203e-08      -4.44071e-01      -2.58801e-01      -4.44071e-01      
 1.17000e+00       4.47372e-06      -5.16241e-07       1.53171e-14       7.60187e-09      -4.44071e-01      -1.89008e-01      -4.44071e-01      
 1.26000e+00       2.53537e-06      -2.01677e-07       1.38223e-14       3.48840e-09      -4.44071e-01      -1.25274e-01      -4.44071e-01      
 1.35000e+00       9.41382e-07      -4.97991e-08       1.08007e-14       1.09586e-09      -4.44071e-01      -7.44764e-02      -4.44071e-01      
 1.44000e+00       1.68980e-07      -6.67647e-09       6.89261e-15       1.85549e-10      -4.44071e-01      -4.71684e-02      -4.44071e-01      
 1.53000e+00       1.65221e-08      -5.67917e-10       4.62702e-15       1.71556e-11      -4.44071e-01      -4.07140e-02      -4.44071e-01      
 1.62000e+00       1.16151e-09      -3.84918e-11       4.08893e-15       1.15375e-12      -4.44071e-01      -4.00609e-02      -4.44071e-01      
 1.71000e+00       7.13448e-11      -3.74410e-12       4.08578e-15       6.98370e-14      -4.44071e-01      -4.00166e-02      -4.44071e-01      
 1.80000e+00       4.22030e-12      -2.64115e-12       4.21655e-15       4.11819e-15      -4.44071e-01      -4.00139e-02      -4.44071e-01      
