
dc (V)            getData("M0:gm    getData("M0:id    getData("M0:cg    getData("M0:gd    getData("M0:vt    getData("M0:vd    getData("M0:vt

 0.00000e+00       6.70766e-06      -5.14874e-06       5.92168e-14       2.43855e-08      -4.40326e-01      -1.24968e+00      -4.40326e-01      
 9.00000e-02       6.39872e-06      -4.55884e-06       5.91750e-14       1.98865e-08      -4.40326e-01      -1.15711e+00      -4.40326e-01      
 1.80000e-01       6.07451e-06      -3.99743e-06       5.91199e-14       1.65184e-08      -4.40326e-01      -1.06656e+00      -4.40326e-01      
 2.70000e-01       5.73458e-06      -3.46590e-06       5.90487e-14       1.38132e-08      -4.40326e-01      -9.77961e-01      -4.40326e-01      
 3.60000e-01       5.37823e-06      -2.96570e-06       5.89570e-14       1.15432e-08      -4.40326e-01      -8.91255e-01      -4.40326e-01      
 4.50000e-01       5.00468e-06      -2.49834e-06       5.88392e-14       9.58870e-09      -4.40326e-01      -8.06376e-01      -4.40326e-01      
 5.40000e-01       4.61312e-06      -2.06540e-06       5.86877e-14       7.88199e-09      -4.40326e-01      -7.23264e-01      -4.40326e-01      
 6.30000e-01       4.20279e-06      -1.66854e-06       5.84923e-14       6.38252e-09      -4.40326e-01      -6.41864e-01      -4.40326e-01      
 7.20000e-01       3.77289e-06      -1.30948e-06       5.82375e-14       5.06468e-09      -4.40326e-01      -5.62124e-01      -4.40326e-01      
 8.10000e-01       3.32246e-06      -9.90035e-07       5.78985e-14       3.91162e-09      -4.40326e-01      -4.84010e-01      -4.40326e-01      
 9.00000e-01       2.85009e-06      -7.12100e-07       5.74296e-14       2.91211e-09      -4.40326e-01      -4.07518e-01      -4.40326e-01      
 9.90000e-01       2.35353e-06      -4.77746e-07       5.67321e-14       2.05905e-09      -4.40326e-01      -3.32737e-01      -4.40326e-01      
 1.08000e+00       1.83001e-06      -2.89277e-07       5.55628e-14       1.34915e-09      -4.40326e-01      -2.60008e-01      -4.40326e-01      
 1.17000e+00       1.28064e-06      -1.49140e-07       5.32698e-14       7.83902e-10      -4.40326e-01      -1.90366e-01      -4.40326e-01      
 1.26000e+00       7.31242e-07      -5.88332e-08       4.82099e-14       3.71012e-10      -4.40326e-01      -1.26632e-01      -4.40326e-01      
 1.35000e+00       2.76213e-07      -1.47581e-08       3.77995e-14       1.20794e-10      -4.40326e-01      -7.54404e-02      -4.40326e-01      
 1.44000e+00       5.05642e-08      -1.99838e-09       2.39040e-14       2.11021e-11      -4.40326e-01      -4.72797e-02      -4.40326e-01      
 1.53000e+00       4.93587e-09      -1.69173e-10       1.55976e-14       1.95733e-12      -4.40326e-01      -4.04138e-02      -4.40326e-01      
 1.62000e+00       3.41748e-10      -1.18450e-11       1.35897e-14       1.29397e-13      -4.40326e-01      -3.97146e-02      -4.40326e-01      
 1.71000e+00       2.05373e-11      -2.11993e-12       1.35605e-14       7.65711e-15      -4.40326e-01      -3.96679e-02      -4.40326e-01      
 1.80000e+00       1.18672e-12      -2.54453e-12       1.40216e-14       4.41004e-16      -4.40326e-01      -3.96652e-02      -4.40326e-01      
