
dc (V)            getData("M0:gm    getData("M0:id    getData("M0:cg    getData("M0:gd    getData("M0:vt    getData("M0:vd    getData("M0:vt

 0.00000e+00       1.21040e-05      -9.32201e-06       3.27184e-14       7.05418e-08      -4.41587e-01      -1.24856e+00      -4.41587e-01      
 9.00000e-02       1.15550e-05      -8.25714e-06       3.26931e-14       5.89732e-08      -4.41587e-01      -1.15615e+00      -4.41587e-01      
 1.80000e-01       1.09775e-05      -7.24296e-06       3.26604e-14       4.97257e-08      -4.41587e-01      -1.06575e+00      -4.41587e-01      
 2.70000e-01       1.03705e-05      -6.28208e-06       3.26191e-14       4.19493e-08      -4.41587e-01      -9.77285e-01      -4.41587e-01      
 3.60000e-01       9.73280e-06      -5.37719e-06       3.25668e-14       3.52213e-08      -4.41587e-01      -8.90691e-01      -4.41587e-01      
 4.50000e-01       9.06289e-06      -4.53114e-06       3.25005e-14       2.93128e-08      -4.41587e-01      -8.05904e-01      -4.41587e-01      
 5.40000e-01       8.35927e-06      -3.74689e-06       3.24158e-14       2.40902e-08      -4.41587e-01      -7.22862e-01      -4.41587e-01      
 6.30000e-01       7.62046e-06      -3.02753e-06       3.23071e-14       1.94699e-08      -4.41587e-01      -6.41510e-01      -4.41587e-01      
 7.20000e-01       6.84491e-06      -2.37631e-06       3.21657e-14       1.53967e-08      -4.41587e-01      -5.61797e-01      -4.41587e-01      
 8.10000e-01       6.03080e-06      -1.79660e-06       3.19778e-14       1.18328e-08      -4.41587e-01      -4.83686e-01      -4.41587e-01      
 9.00000e-01       5.17542e-06      -1.29200e-06       3.17178e-14       8.75187e-09      -4.41587e-01      -4.07176e-01      -4.41587e-01      
 9.90000e-01       4.27457e-06      -8.66396e-07       3.13307e-14       6.13671e-09      -4.41587e-01      -3.32357e-01      -4.41587e-01      
 1.08000e+00       3.32310e-06      -5.24108e-07       3.06803e-14       3.97913e-09      -4.41587e-01      -2.59578e-01      -4.41587e-01      
 1.17000e+00       2.32330e-06      -2.69725e-07       2.94022e-14       2.28240e-09      -4.41587e-01      -1.89892e-01      -4.41587e-01      
 1.26000e+00       1.32327e-06      -1.06052e-07       2.65838e-14       1.06360e-09      -4.41587e-01      -1.26162e-01      -4.41587e-01      
 1.35000e+00       4.96949e-07      -2.64580e-08       2.08175e-14       3.39989e-10      -4.41587e-01      -7.51044e-02      -4.41587e-01      
 1.44000e+00       9.03358e-08      -3.56869e-09       1.32009e-14       5.83579e-11      -4.41587e-01      -4.72331e-02      -4.41587e-01      
 1.53000e+00       8.81647e-09      -3.02189e-10       8.69611e-15       5.39036e-12      -4.41587e-01      -4.05111e-02      -4.41587e-01      
 1.62000e+00       6.13053e-10      -2.06143e-11       7.61438e-15       3.58111e-13      -4.41587e-01      -3.98286e-02      -4.41587e-01      
 1.71000e+00       3.70837e-11      -2.64573e-12       7.60195e-15       2.13381e-14      -4.41587e-01      -3.97828e-02      -4.41587e-01      
 1.80000e+00       2.15812e-12      -2.57528e-12       7.85544e-15       1.23781e-15      -4.41587e-01      -3.97801e-02      -4.41587e-01      
