
dc (V)            getData("M0:gm    getData("M0:id    getData("M0:cg    getData("M0:gd    getData("M0:vt    getData("M0:vd    getData("M0:vt

 0.00000e+00       2.04887e-04      -1.98207e-04       1.44125e-15       2.13834e-05      -4.83329e-01      -1.06099e+00      -4.83329e-01      
 9.00000e-02       2.03893e-04      -1.79805e-04       1.43551e-15       1.91797e-05      -4.83329e-01      -9.96475e-01      -4.83329e-01      
 1.80000e-01       2.02005e-04      -1.61533e-04       1.42930e-15       1.70544e-05      -4.83329e-01      -9.31694e-01      -4.83329e-01      
 2.70000e-01       1.99090e-04      -1.43475e-04       1.42336e-15       1.50113e-05      -4.83329e-01      -8.66568e-01      -4.83329e-01      
 3.60000e-01       1.94991e-04      -1.25732e-04       1.41782e-15       1.30554e-05      -4.83329e-01      -8.01016e-01      -4.83329e-01      
 4.50000e-01       1.89531e-04      -1.08418e-04       1.41245e-15       1.11929e-05      -4.83329e-01      -7.34942e-01      -4.83329e-01      
 5.40000e-01       1.82505e-04      -9.16634e-05       1.40693e-15       9.43083e-06      -4.83329e-01      -6.68243e-01      -4.83329e-01      
 6.30000e-01       1.73673e-04      -7.56208e-05       1.40088e-15       7.77750e-06      -4.83329e-01      -6.00807e-01      -4.83329e-01      
 7.20000e-01       1.62748e-04      -6.04649e-05       1.39382e-15       6.24258e-06      -4.83329e-01      -5.32517e-01      -4.83329e-01      
 8.10000e-01       1.49372e-04      -4.63996e-05       1.38501e-15       4.83741e-06      -4.83329e-01      -4.63267e-01      -4.83329e-01      
 9.00000e-01       1.33080e-04      -3.36654e-05       1.37307e-15       3.57552e-06      -4.83329e-01      -3.93005e-01      -4.83329e-01      
 9.90000e-01       1.13263e-04      -2.25510e-05       1.35484e-15       2.47353e-06      -4.83329e-01      -3.21867e-01      -4.83329e-01      
 1.08000e+00       8.92708e-05      -1.34039e-05       1.32250e-15       1.55246e-06      -4.83329e-01      -2.50519e-01      -4.83329e-01      
 1.17000e+00       6.11910e-05      -6.60792e-06       1.25663e-15       8.38266e-07      -4.83329e-01      -1.81050e-01      -4.83329e-01      
 1.26000e+00       3.23496e-05      -2.41841e-06       1.11899e-15       3.55489e-07      -4.83329e-01      -1.18616e-01      -4.83329e-01      
 1.35000e+00       1.08109e-05      -5.63695e-07       8.89975e-16       1.01602e-07      -4.83329e-01      -7.26001e-02      -4.83329e-01      
 1.44000e+00       1.90851e-06      -7.76922e-08       6.75161e-16       1.64904e-08      -4.83329e-01      -5.15119e-02      -4.83329e-01      
 1.53000e+00       2.00911e-07      -7.18633e-09       5.84586e-16       1.61554e-09      -4.83329e-01      -4.72025e-02      -4.83329e-01      
 1.62000e+00       1.58145e-08      -5.39870e-10       5.67779e-16       1.22815e-10      -4.83329e-01      -4.67622e-02      -4.83329e-01      
 1.71000e+00       1.11766e-09      -3.90324e-11       5.70272e-16       8.58409e-12      -4.83329e-01      -4.67287e-02      -4.83329e-01      
 1.80000e+00       7.66161e-11      -5.07425e-12       5.77597e-16       5.87081e-13      -4.83329e-01      -4.67264e-02      -4.83329e-01      
