
dc (V)            getData("M0:gm    getData("M0:id    getData("M0:cg    getData("M0:gd    getData("M0:vt    getData("M0:vd    getData("M0:vt

 0.00000e+00       2.25159e-05      -1.74440e-05       1.75149e-14       2.25962e-07      -4.43945e-01      -1.24752e+00      -4.43945e-01      
 9.00000e-02       2.15227e-05      -1.54618e-05       1.74992e-14       1.92091e-07      -4.43945e-01      -1.15528e+00      -4.43945e-01      
 1.80000e-01       2.04732e-05      -1.35716e-05       1.74794e-14       1.63558e-07      -4.43945e-01      -1.06502e+00      -4.43945e-01      
 2.70000e-01       1.93657e-05      -1.17784e-05       1.74552e-14       1.38747e-07      -4.43945e-01      -9.76685e-01      -4.43945e-01      
 3.60000e-01       1.81974e-05      -1.00876e-05       1.74256e-14       1.16825e-07      -4.43945e-01      -8.90193e-01      -4.43945e-01      
 4.50000e-01       1.69653e-05      -8.50479e-06       1.73888e-14       9.73196e-08      -4.43945e-01      -8.05480e-01      -4.43945e-01      
 5.40000e-01       1.56664e-05      -7.03586e-06       1.73424e-14       7.99409e-08      -4.43945e-01      -7.22486e-01      -4.43945e-01      
 6.30000e-01       1.42976e-05      -5.68694e-06       1.72834e-14       6.44976e-08      -4.43945e-01      -6.41151e-01      -4.43945e-01      
 7.20000e-01       1.28557e-05      -4.46448e-06       1.72071e-14       5.08569e-08      -4.43945e-01      -5.61423e-01      -4.43945e-01      
 8.10000e-01       1.13369e-05      -3.37523e-06       1.71059e-14       3.89236e-08      -4.43945e-01      -4.83264e-01      -4.43945e-01      
 9.00000e-01       9.73556e-06      -2.42633e-06       1.69658e-14       2.86294e-08      -4.43945e-01      -4.06672e-01      -4.43945e-01      
 9.90000e-01       8.04333e-06      -1.62556e-06       1.67568e-14       1.99287e-08      -4.43945e-01      -3.31744e-01      -4.43945e-01      
 1.08000e+00       6.25024e-06      -9.81569e-07       1.64041e-14       1.28006e-08      -4.43945e-01      -2.58842e-01      -4.43945e-01      
 1.17000e+00       4.36160e-06      -5.03457e-07       1.57083e-14       7.25441e-09      -4.43945e-01      -1.89054e-01      -4.43945e-01      
 1.26000e+00       2.47245e-06      -1.96747e-07       1.41767e-14       3.33109e-09      -4.43945e-01      -1.25319e-01      -4.43945e-01      
 1.35000e+00       9.18556e-07      -4.86071e-08       1.10788e-14       1.04724e-09      -4.43945e-01      -7.45080e-02      -4.43945e-01      
 1.44000e+00       1.64986e-07      -6.51853e-09       7.06762e-15       1.77417e-10      -4.43945e-01      -4.71713e-02      -4.43945e-01      
 1.53000e+00       1.61297e-08      -5.54333e-10       4.73997e-15       1.64019e-11      -4.43945e-01      -4.07035e-02      -4.43945e-01      
 1.62000e+00       1.13327e-09      -3.75664e-11       4.18684e-15       1.10236e-12      -4.43945e-01      -4.00490e-02      -4.43945e-01      
 1.71000e+00       6.95546e-11      -3.68640e-12       4.18344e-15       6.66718e-14      -4.43945e-01      -4.00046e-02      -4.43945e-01      
 1.80000e+00       4.11092e-12      -2.63764e-12       4.31763e-15       3.92821e-15      -4.43945e-01      -4.00019e-02      -4.43945e-01      
