
dc (V)            getData("M0:gm    getData("M0:id    getData("M0:cg    getData("M0:gd    getData("M0:vt    getData("M0:vd    getData("M0:vt

 0.00000e+00       1.88196e-05      -1.45486e-05       2.09898e-14       1.60800e-07      -4.43116e-01      -1.24803e+00      -4.43116e-01      
 9.00000e-02       1.79808e-05      -1.28922e-05       2.09719e-14       1.36139e-07      -4.43116e-01      -1.15571e+00      -4.43116e-01      
 1.80000e-01       1.70960e-05      -1.13134e-05       2.09491e-14       1.15643e-07      -4.43116e-01      -1.06538e+00      -4.43116e-01      
 2.70000e-01       1.61637e-05      -9.81634e-06       2.09210e-14       9.79694e-08      -4.43116e-01      -9.76985e-01      -4.43116e-01      
 3.60000e-01       1.51817e-05      -8.40542e-06       2.08862e-14       8.24340e-08      -4.43116e-01      -8.90442e-01      -4.43116e-01      
 4.50000e-01       1.41476e-05      -7.08520e-06       2.08427e-14       6.86558e-08      -4.43116e-01      -8.05690e-01      -4.43116e-01      
 5.40000e-01       1.30588e-05      -5.86049e-06       2.07876e-14       5.64038e-08      -4.43116e-01      -7.22667e-01      -4.43116e-01      
 6.30000e-01       1.19130e-05      -4.73632e-06       2.07172e-14       4.55285e-08      -4.43116e-01      -6.41315e-01      -4.43116e-01      
 7.20000e-01       1.07076e-05      -3.71794e-06       2.06260e-14       3.59274e-08      -4.43116e-01      -5.61583e-01      -4.43116e-01      
 8.10000e-01       9.43941e-06      -2.81084e-06       2.05050e-14       2.75280e-08      -4.43116e-01      -4.83434e-01      -4.43116e-01      
 9.00000e-01       8.10404e-06      -2.02087e-06       2.03375e-14       2.02786e-08      -4.43116e-01      -4.06864e-01      -4.43116e-01      
 9.90000e-01       6.69462e-06      -1.35434e-06       2.00878e-14       1.41447e-08      -4.43116e-01      -3.31969e-01      -4.43116e-01      
 1.08000e+00       5.20294e-06      -8.18316e-07       1.96670e-14       9.11004e-09      -4.43116e-01      -2.59107e-01      -4.43116e-01      
 1.17000e+00       3.63313e-06      -4.20218e-07       1.88380e-14       5.18125e-09      -4.43116e-01      -1.89351e-01      -4.43116e-01      
 1.26000e+00       2.06295e-06      -1.64571e-07       1.70121e-14       2.38982e-09      -4.43116e-01      -1.25616e-01      -4.43116e-01      
 1.35000e+00       7.69342e-07      -4.07974e-08       1.33038e-14       7.55233e-10      -4.43116e-01      -7.47163e-02      -4.43116e-01      
 1.44000e+00       1.38759e-07      -5.48180e-09       8.46840e-15       1.28453e-10      -4.43116e-01      -4.71913e-02      -4.43116e-01      
 1.53000e+00       1.35560e-08      -4.65386e-10       5.64382e-15       1.18680e-11      -4.43116e-01      -4.06353e-02      -4.43116e-01      
 1.62000e+00       9.48893e-10      -3.15382e-11       4.97019e-15       7.94346e-13      -4.43116e-01      -3.99712e-02      -4.43116e-01      
 1.71000e+00       5.79376e-11      -3.31280e-12       4.96479e-15       4.77887e-14      -4.43116e-01      -3.99263e-02      -4.43116e-01      
 1.80000e+00       3.40550e-12      -2.61504e-12       5.12626e-15       2.80011e-15      -4.43116e-01      -3.99236e-02      -4.43116e-01      
